"dataset","variable","period"
"PL","CID",1984
"PL","CID",1985
"PL","CID",1986
"PL","CID",1987
"PL","CID",1988
"PL","CID",1989
"PL","CID",1990
"PL","CID",1991
"PL","CID",1992
"PL","CID",1993
"PL","CID",1994
"PL","CID",1995
"PL","CID",1996
"PL","CID",1997
"PL","CID",1998
"PL","CID",1999
"PL","CID",2000
"PL","CID",2001
"PL","CID",2002
"PL","CID",2003
"PL","CID",2004
"PL","CID",2005
"PL","CID",2006
"PL","CID",2007
"PL","CID",2008
"PL","CID",2009
"PL","CID",2010
"PL","CID",2011
"PL","CID",2012
"PL","CID",2013
"PL","HID",1984
"PL","HID",1985
"PL","HID",1986
"PL","HID",1987
"PL","HID",1988
"PL","HID",1989
"PL","HID",1990
"PL","HID",1991
"PL","HID",1992
"PL","HID",1993
"PL","HID",1994
"PL","HID",1995
"PL","HID",1996
"PL","HID",1997
"PL","HID",1998
"PL","HID",1999
"PL","HID",2000
"PL","HID",2001
"PL","HID",2002
"PL","HID",2003
"PL","HID",2004
"PL","HID",2005
"PL","HID",2006
"PL","HID",2007
"PL","HID",2008
"PL","HID",2009
"PL","HID",2010
"PL","HID",2011
"PL","HID",2012
"PL","HID",2013
"PL","HPMAX",2009
"PL","HPMAX",2010
"PL","HPMAX",2011
"PL","HPMAX",2012
"PL","HPMAX",2013
"PL","INTID",1985
"PL","INTID",1986
"PL","INTID",1987
"PL","INTID",1988
"PL","INTID",1989
"PL","INTID",1990
"PL","INTID",1991
"PL","INTID",1992
"PL","INTID",1993
"PL","INTID",1994
"PL","INTID",1995
"PL","INTID",1996
"PL","INTID",1997
"PL","INTID",1998
"PL","INTID",1999
"PL","INTID",2000
"PL","INTID",2001
"PL","INTID",2002
"PL","INTID",2003
"PL","INTID",2004
"PL","INTID",2005
"PL","INTID",2006
"PL","INTID",2007
"PL","INTID",2008
"PL","INTID",2009
"PL","INTID",2010
"PL","INTID",2011
"PL","IYEAR",2010
"PL","PAB0001",1996
"PL","PAB0001",1997
"PL","PAB0001",1998
"PL","PAB0001",1999
"PL","PAB0001",2000
"PL","PAB0001",2001
"PL","PAB0001",2002
"PL","PAB0001",2003
"PL","PAB0001",2004
"PL","PAB0001",2005
"PL","PAB0001",2006
"PL","PAB0001",2007
"PL","PAB0001",2008
"PL","PAB0001",2009
"PL","PAB0001",2010
"PL","PAB0001",2011
"PL","PAB0001",2012
"PL","PAB0001",2013
"PL","PAB0002",1996
"PL","PAB0002",1997
"PL","PAB0002",1998
"PL","PAB0002",1999
"PL","PAB0002",2000
"PL","PAB0002",2001
"PL","PAB0002",2002
"PL","PAB0002",2003
"PL","PAB0002",2004
"PL","PAB0002",2005
"PL","PAB0002",2006
"PL","PAB0002",2007
"PL","PAB0002",2008
"PL","PAB0002",2009
"PL","PAB0002",2010
"PL","PAB0002",2011
"PL","PAB0002",2012
"PL","PAB0002",2013
"PL","PAB0003",2010
"PL","PAB0003",2011
"PL","PAB0003",2012
"PL","PAB0003",2013
"PL","PAB0004",1996
"PL","PAB0004",1997
"PL","PAB0004",1998
"PL","PAB0004",1999
"PL","PAB0004",2000
"PL","PAB0004",2001
"PL","PAB0004",2002
"PL","PAB0004",2003
"PL","PAB0004",2004
"PL","PAB0004",2005
"PL","PAB0004",2006
"PL","PAB0004",2007
"PL","PAB0004",2008
"PL","PAB0004",2009
"PL","PAB0004",2010
"PL","PAB0004",2011
"PL","PAB0004",2012
"PL","PAB0004",2013
"PL","PAB0005",1996
"PL","PAB0005",1997
"PL","PAB0005",1998
"PL","PAB0005",1999
"PL","PAB0005",2000
"PL","PAB0005",2001
"PL","PAB0005",2002
"PL","PAB0005",2003
"PL","PAB0005",2004
"PL","PAB0005",2005
"PL","PAB0005",2006
"PL","PAB0005",2007
"PL","PAB0005",2008
"PL","PAB0005",2009
"PL","PAB0005",2010
"PL","PAB0005",2011
"PL","PAB0005",2012
"PL","PAB0005",2013
"PL","PAB0006",1996
"PL","PAB0006",1997
"PL","PAB0006",1998
"PL","PAB0006",1999
"PL","PAB0006",2000
"PL","PAB0006",2001
"PL","PAB0006",2002
"PL","PAB0006",2003
"PL","PAB0006",2004
"PL","PAB0006",2005
"PL","PAB0006",2006
"PL","PAB0006",2007
"PL","PAB0006",2008
"PL","PAB0006",2009
"PL","PAB0006",2010
"PL","PAB0006",2011
"PL","PAB0006",2012
"PL","PAB0006",2013
"PL","PAB0007",1996
"PL","PAB0007",1997
"PL","PAB0007",1998
"PL","PAB0007",1999
"PL","PAB0007",2000
"PL","PAB0007",2001
"PL","PAB0007",2002
"PL","PAB0007",2003
"PL","PAB0007",2004
"PL","PAB0007",2005
"PL","PAB0007",2006
"PL","PAB0007",2007
"PL","PAB0007",2008
"PL","PAB0007",2009
"PL","PAB0007",2010
"PL","PAB0007",2011
"PL","PAB0007",2012
"PL","PAB0007",2013
"PL","PAB0008",1996
"PL","PAB0008",1997
"PL","PAB0008",1998
"PL","PAB0008",1999
"PL","PAB0008",2000
"PL","PAB0008",2001
"PL","PAB0008",2002
"PL","PAB0008",2003
"PL","PAB0008",2004
"PL","PAB0008",2005
"PL","PAB0008",2006
"PL","PAB0008",2007
"PL","PAB0008",2008
"PL","PAB0008",2009
"PL","PAB0008",2010
"PL","PAB0008",2011
"PL","PAB0008",2012
"PL","PAB0008",2013
"PL","PAB0009",1996
"PL","PAB0009",1997
"PL","PAB0009",1998
"PL","PAB0009",1999
"PL","PAB0009",2000
"PL","PAB0009",2001
"PL","PAB0009",2002
"PL","PAB0009",2003
"PL","PAB0009",2004
"PL","PAB0009",2005
"PL","PAB0009",2006
"PL","PAB0009",2007
"PL","PAB0009",2008
"PL","PAB0009",2009
"PL","PAB0009",2010
"PL","PAB0009",2011
"PL","PAB0009",2012
"PL","PAB0009",2013
"PL","PAB0010",2000
"PL","PAB0010",2001
"PL","PAB0010",2002
"PL","PAB0010",2003
"PL","PAB0010",2004
"PL","PAB0010",2005
"PL","PAB0010",2006
"PL","PAB0010",2007
"PL","PAB0010",2008
"PL","PAB0010",2009
"PL","PAB0010",2010
"PL","PAB0010",2011
"PL","PAB0010",2012
"PL","PAB0010",2013
"PL","PAB0011",2005
"PL","PAB0011",2006
"PL","PAB0011",2007
"PL","PAB0011",2008
"PL","PAB0011",2009
"PL","PAB0011",2010
"PL","PAB0011",2011
"PL","PAB0011",2012
"PL","PAB0011",2013
"PL","PAB0012",1996
"PL","PAB0012",1997
"PL","PAB0012",1998
"PL","PAB0012",1999
"PL","PAB0012",2000
"PL","PAB0012",2001
"PL","PAB0012",2002
"PL","PAB0012",2003
"PL","PAB0012",2004
"PL","PAB0012",2005
"PL","PAB0012",2006
"PL","PAB0012",2007
"PL","PAB0012",2008
"PL","PAB0012",2009
"PL","PAB0012",2010
"PL","PAB0012",2011
"PL","PAB0012",2012
"PL","PAB0012",2013
"PL","PAB0013",1996
"PL","PAB0013",1997
"PL","PAB0013",1998
"PL","PAB0013",1999
"PL","PAB0013",2000
"PL","PAB0013",2001
"PL","PAB0013",2002
"PL","PAB0013",2003
"PL","PAB0013",2004
"PL","PAB0013",2005
"PL","PAB0013",2006
"PL","PAB0013",2007
"PL","PAB0013",2008
"PL","PAB0013",2009
"PL","PAB0013",2010
"PL","PAB0013",2011
"PL","PAB0013",2012
"PL","PAB0013",2013
"PL","PAB0014",2000
"PL","PAB0015",2000
"PL","PAB0016",2000
"PL","PAC0001",2003
"PL","PAC0001",2004
"PL","PAC0001",2005
"PL","PAC0001",2006
"PL","PAC0001",2007
"PL","PAC0001",2008
"PL","PAC0001",2009
"PL","PAC0001",2010
"PL","PAC0001",2011
"PL","PAC0001",2012
"PL","PAC0001",2013
"PL","PAC0002",2003
"PL","PAC0002",2004
"PL","PAC0002",2005
"PL","PAC0002",2006
"PL","PAC0002",2007
"PL","PAC0002",2008
"PL","PAC0002",2009
"PL","PAC0002",2010
"PL","PAC0002",2011
"PL","PAC0002",2012
"PL","PAC0002",2013
"PL","PAG0001",1989
"PL","PAG0002",1989
"PL","PAG0003",1989
"PL","PAG0004",1989
"PL","PAG0005",1989
"PL","PAG0006",1989
"PL","PAH0001",2003
"PL","PANKER",2013
"PL","PBUH",2013
"PL","PBUH1",2013
"PL","PBUH2",2013
"PL","PBUH3",2013
"PL","PBUH4",2013
"PL","PBUH5",2013
"PL","PBUH6",2013
"PL","PBUH7",2013
"PL","PBUH8",2013
"PL","PBUH9",2013
"PL","PCB0001",1984
"PL","PCB0002",1984
"PL","PCB0003",2000
"PL","PCB0003",2001
"PL","PCB0004",1999
"PL","PCB0005",1996
"PL","PCB0005",1997
"PL","PCB0005",1998
"PL","PCB0006",1991
"PL","PCB0006",1992
"PL","PCB0006",1993
"PL","PCB0006",1994
"PL","PCB0006",1995
"PL","PCB0007",1985
"PL","PCB0007",1986
"PL","PCB0007",1987
"PL","PCB0007",1988
"PL","PCB0007",1989
"PL","PCB0007",1990
"PL","PCB0008",1990
"PL","PCB0009",1984
"PL","PCB0009",1985
"PL","PCB0009",1986
"PL","PCB0009",1987
"PL","PCB0009",1988
"PL","PCB0009",1990
"PL","PCB0009",1991
"PL","PCB0009",1992
"PL","PCB0009",1993
"PL","PCB0009",1994
"PL","PCB0009",1995
"PL","PCB0009",1996
"PL","PCB0009",1997
"PL","PCB0009",1998
"PL","PCB0010",1985
"PL","PCB0010",1986
"PL","PCB0010",1987
"PL","PCB0010",1988
