"study","varname","recname","concept","lid_item_id","is_key","lid_ref_varname","lid_ref_recname","lid_ref_year","description","description_long","boost"
"soep-long","CID","PPFADL","_cid",1,"","HHNR","PPFAD",0,"","",2
"soep-long","PID","PPFADL","_pid",2,"true","PERSNR","PPFAD",0,"","",2
"soep-long","SYEAR","PPFADL","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",2
"soep-long","SEX","PPFADL","sex",569,"","SEX","PPFAD",0,"","",2
"soep-long","GEBJAHR","PPFADL","gebjahr",570,"","GEBJAHR","PPFAD",0,"","",2
"soep-long","ERSTBEFR","PPFADL","erstbefr",9,"","ERSTBEFR","PPFAD",0,"","",2
"soep-long","LETZTBEF","PPFADL","letztbef",14,"","LETZTBEF","PPFAD",0,"","",2
"soep-long","EINTRITT","PPFADL","eintritt",8,"","EINTRITT","PPFAD",0,"","",2
"soep-long","AUSTRITT","PPFADL","austritt",10,"","AUSTRITT","PPFAD",0,"","",2
"soep-long","TODJAHR","PPFADL","todjahr",11,"","TODJAHR","PPFAD",0,"","",2
"soep-long","TODINFO","PPFADL","todinfo",12,"","TODINFO","PPFAD",0,"","",2
"soep-long","IMMIYEAR","PPFADL","immiyear",2161,"","IMMIYEAR","PPFAD",0,"","",2
"soep-long","GERMBORN","PPFADL","germborn",15,"","GERMBORN","PPFAD",0,"","",2
"soep-long","LOC1989","PPFADL","loc1989",4677,"","LOC1989","PPFAD",0,"","",2
"soep-long","CORIGIN","PPFADL","corigin",16,"","CORIGIN","PPFAD",0,"","",2
"soep-long","MIGBACK","PPFADL","migback",5752,"","MIGBACK","PPFAD",0,"","",2
"soep-long","MIGINFO","PPFADL","miginfo",5753,"","MIGINFO","PPFAD",0,"","",2
"soep-long","PSAMPLE","PPFADL","psample",13,"","PSAMPLE","PPFAD",0,"","",2
"soep-long","GEBMONAT","PPFADL","gebmonat",4321,"","GEBMONAT","PPFAD",0,"","",2
"soep-long","GEBMOVAL","PPFADL","gebmoval",4322,"","GEBMOVAL","PPFAD",0,"","",2
"soep-long","WAVE","PPFADL","wave",,"","","",,"","",2
"soep-long","HID","PPFADL","_hid",3654,"","BCHHNR","PPFAD",2012,"","",2
"soep-long","NETTO","PPFADL","netto",4,"","BCNETTO","PPFAD",2012,"","",2
"soep-long","NETT1","PPFADL","nett1",4864,"","BCNETOLD","PPFAD",2012,"","",2
"soep-long","CASEMAT","PPFADL","casemat",5,"","BCCASEMAT","PPFAD",2012,"","",2
"soep-long","SAMPREG","PPFADL","sampreg",6,"","BCSAMPREG","PPFAD",2012,"","",2
"soep-long","POP","PPFADL","pop",3611,"","BCPOP","PPFAD",2012,"","",2
"soep-long","IYEAR","PPFADL","iyear",,"","","",,"","",2
"soep-long","PARID","PPFADL","parid",,"","","",,"","",2
"soep-long","PARTNER","PPFADL","partner",,"","","",,"","",2
"soep-long","PRGROUP","PPFADL","prgroup",25,"","PRGROUP","PHRF",0,"","",2
"soep-long","PBLEIB","PPFADL","pbleib",21,"","BCPBLEIB","PHRF",2012,"","",2
"soep-long","PHRF","PPFADL","phrf",20,"","BCPHRF","PHRF",2012,"","",2
"soep-long","PHRF0","PPFADL","phrf0",,"","","",,"","",2
"soep-long","PHRF1","PPFADL","phrf1",,"","","",,"","",2
"soep-long","PHRFE","PPFADL","phrfe",5768,"","OPHRFE","PHRF",1998,"","",2
"soep-long","PHRFE0","PPFADL","phrfe0",,"","","",,"","",2
"soep-long","PHRFE1","PPFADL","phrfe1",,"","","",,"","",2
"soep-long","CID","HPFADL","_cid",1,"","HHNR","HPFAD",0,"","",2
"soep-long","HID","HPFADL","_hid",,"true","","",,"","",2
"soep-long","SYEAR","HPFADL","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",2
"soep-long","HSAMPLE","HPFADL","hsample",19,"","HSAMPLE","HPFAD",2012,"","",2
"soep-long","HNETTO","HPFADL","hhnetto",18,"","BCHNETTO","HPFAD",2012,"","",2
"soep-long","SAMPREG","HPFADL","sampreg",6,"","BCSAMPREG","HPFAD",2012,"","",2
"soep-long","HPOP","HPFADL","hpop",4320,"","BCHPOP","HPFAD",2012,"","",2
"soep-long","HRGROUP","HPFADL","hrgroup",76,"","HRGROUP","HHRF",0,"","",2
"soep-long","HBLEIB","HPFADL","hbleib",70,"","BCHBLEIB","HHRF",2012,"","",2
"soep-long","HHRF","HPFADL","hhrf",69,"","BCHHRF","HHRF",2012,"","",2
"soep-long","HHRF0","HPFADL","hhrf0",,"","","",,"","",2
"soep-long","HHRF1","HPFADL","hhrf1",,"","","",,"","",2
"soep-long","CID","PPFAD","_cid",1,"","HHNR","PPFAD",0,"","",0.5
"soep-long","PID","PPFAD","_pid",2,"true","PERSNR","PPFAD",0,"","",0.5
"soep-long","SEX","PPFAD","sex",569,"","SEX","PPFAD",0,"","",0.5
"soep-long","GEBJAHR","PPFAD","gebjahr",570,"","GEBJAHR","PPFAD",0,"","",0.5
"soep-long","ERSTBEFR","PPFAD","erstbefr",9,"","ERSTBEFR","PPFAD",0,"","",0.5
"soep-long","LETZTBEF","PPFAD","letztbef",14,"","LETZTBEF","PPFAD",0,"","",0.5
"soep-long","EINTRITT","PPFAD","eintritt",8,"","EINTRITT","PPFAD",0,"","",0.5
"soep-long","AUSTRITT","PPFAD","austritt",10,"","AUSTRITT","PPFAD",0,"","",0.5
"soep-long","TODJAHR","PPFAD","todjahr",11,"","TODJAHR","PPFAD",0,"","",0.5
"soep-long","TODINFO","PPFAD","todinfo",12,"","TODINFO","PPFAD",0,"","",0.5
"soep-long","IMMIYEAR","PPFAD","immiyear",2161,"","IMMIYEAR","PPFAD",0,"","",0.5
"soep-long","GERMBORN","PPFAD","germborn",15,"","GERMBORN","PPFAD",0,"","",0.5
"soep-long","LOC1989","PPFAD","loc1989",4677,"","LOC1989","PPFAD",0,"","",0.5
"soep-long","CORIGIN","PPFAD","corigin",16,"","CORIGIN","PPFAD",0,"","",0.5
"soep-long","MIGBACK","PPFAD","migback",5752,"","MIGBACK","PPFAD",0,"","",0.5
"soep-long","MIGINFO","PPFAD","miginfo",5753,"","MIGINFO","PPFAD",0,"","",0.5
"soep-long","PSAMPLE","PPFAD","psample",13,"","PSAMPLE","PPFAD",0,"","",0.5
"soep-long","GEBMONAT","PPFAD","gebmonat",4321,"","GEBMONAT","PPFAD",0,"","",0.5
"soep-long","GEBMOVAL","PPFAD","gebmoval",4322,"","GEBMOVAL","PPFAD",0,"","",0.5
"soep-long","CID","HPFAD","_cid",1,"","HHNR","HPFAD",0,"","",0.5
"soep-long","HID","HPFAD","_hid",,"true","","",,"","",0.5
"soep-long","HSAMPLE","HPFAD","hsample",19,"","HSAMPLE","HPFAD",2012,"","",0.5
"soep-long","CID","CSAMP","_cid",,"","HHNR","SAMP",0,"","",0.5
"soep-long","KSAMPLE","CSAMP","ksample",,"","KSAMPLE","SAMP",0,"","",0.5
"soep-long","SAMPDET","CSAMP","sampdet",,"","SAMPDET","SAMP",0,"","",0.5
"soep-long","CID","PBRUTTO","_cid",1,"","HHNR","PPFAD",0,"","",0.5
"soep-long","HID","PBRUTTO","_hid",,"true","","",,"","",0.5
"soep-long","PID","PBRUTTO","_pid",2,"true","PERSNR","PPFAD",0,"","",0.5
"soep-long","SYEAR","PBRUTTO","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",0.5
"soep-long","GEBURT","PBRUTTO","geburt",2213,"","BCGEBURT","BCPBRUTTO",2012,"","",0.5
"soep-long","SEX","PBRUTTO","sex",2214,"","BCSEX","BCPBRUTTO",2012,"","",0.5
"soep-long","PNAT","PBRUTTO","pnat",2215,"","BCPNAT","BCPBRUTTO",2012,"","",0.5
"soep-long","STISTAT","PBRUTTO","stistat",2216,"","BCSTISTAT","BCPBRUTTO",2012,"","",0.5
"soep-long","BEFSTAT","PBRUTTO","befstat",2217,"","BCBEFSTAT","BCPBRUTTO",2012,"","",0.5
"soep-long","LINT","PBRUTTO","lint",2218,"","BCLINT","BCPBRUTTO",2012,"","",0.5
"soep-long","LUECKE","PBRUTTO","luecke",2219,"","BCLUECKE","BCPBRUTTO",2012,"","",0.5
"soep-long","ZUPAN","PBRUTTO","zupan",2220,"","BCZUPAN","BCPBRUTTO",2012,"","",0.5
"soep-long","PNRAKT","PBRUTTO","pnrakt",2221,"","BCPNRAKT","BCPBRUTTO",2012,"","",0.5
"soep-long","STELL","PBRUTTO","stell",2222,"","BCSTELL","BCPBRUTTO",2012,"","",0.5
"soep-long","PZUG","PBRUTTO","pzug",2223,"","BCPZUG","BCPBRUTTO",2012,"","",0.5
"soep-long","PFORM","PBRUTTO","pform",2224,"","BCPFORM","BCPBRUTTO",2012,"","",0.5
"soep-long","PERG","PBRUTTO","perg",2225,"","BCPERG","BCPBRUTTO",2012,"","",0.5
"soep-long","PERGZ","PBRUTTO","pergz",2226,"","BCPERGZ","BCPBRUTTO",2012,"","",0.5
"soep-long","HHNROLD","PBRUTTO","hhnrold",3594,"","BCHHNROLD","BCPBRUTTO",2012,"","",0.5
