"study","dataset","varname","concept","source","item_id","ID","n.concepts"
"soep-core","PPFAD","HHNR","_cid","soeplong","1","PPFAD|HHNR",1
"soep-core","HPFAD","HHNR","_cid","soeplong","1","HPFAD|HHNR",1
"soep-core","PHRF","HHNR","_cid","soeplong","1","PHRF|HHNR",1
"soep-core","PBIOSPE","HHNR","_cid","soeplong","1","PBIOSPE|HHNR",1
"soep-core","ARTKALEN","HHNR","_cid","soeplong","1","ARTKALEN|HHNR",1
"soep-core","EINKALEN","HHNR","_cid","soeplong","1","EINKALEN|HHNR",1
"soep-core","HHRF","HHNR","_cid","soeplong","1","HHRF|HHNR",1
"soep-core","AP","HHNR","_cid","soeplong","1","AP|HHNR",1
"soep-core","BP","HHNR","_cid","soeplong","1","BP|HHNR",1
"soep-core","CP","HHNR","_cid","soeplong","1","CP|HHNR",1
"soep-core","DP","HHNR","_cid","soeplong","1","DP|HHNR",1
"soep-core","EP","HHNR","_cid","soeplong","1","EP|HHNR",1
"soep-core","FP","HHNR","_cid","soeplong","1","FP|HHNR",1
"soep-core","GP","HHNR","_cid","soeplong","1","GP|HHNR",1
"soep-core","GPOST","HHNR","_cid","soeplong","1","GPOST|HHNR",1
"soep-core","HP","HHNR","_cid","soeplong","1","HP|HHNR",1
"soep-core","HPOST","HHNR","_cid","soeplong","1","HPOST|HHNR",1
"soep-core","IP","HHNR","_cid","soeplong","1","IP|HHNR",1
"soep-core","JP","HHNR","_cid","soeplong","1","JP|HHNR",1
"soep-core","KP","HHNR","_cid","soeplong","1","KP|HHNR",1
"soep-core","LP","HHNR","_cid","soeplong","1","LP|HHNR",1
"soep-core","MP","HHNR","_cid","soeplong","1","MP|HHNR",1
"soep-core","NP","HHNR","_cid","soeplong","1","NP|HHNR",1
"soep-core","OP","HHNR","_cid","soeplong","1","OP|HHNR",1
"soep-core","PP","HHNR","_cid","soeplong","1","PP|HHNR",1
"soep-core","QP","HHNR","_cid","soeplong","1","QP|HHNR",1
"soep-core","RP","HHNR","_cid","soeplong","1","RP|HHNR",1
"soep-core","SP","HHNR","_cid","soeplong","1","SP|HHNR",1
"soep-core","TP","HHNR","_cid","soeplong","1","TP|HHNR",1
"soep-core","UP","HHNR","_cid","soeplong","1","UP|HHNR",1
"soep-core","VP","HHNR","_cid","soeplong","1","VP|HHNR",1
"soep-core","WP","HHNR","_cid","soeplong","1","WP|HHNR",1
"soep-core","XP","HHNR","_cid","soeplong","1","XP|HHNR",1
"soep-core","YP","HHNR","_cid","soeplong","1","YP|HHNR",1
"soep-core","ZP","HHNR","_cid","soeplong","1","ZP|HHNR",1
"soep-core","BAP","HHNR","_cid","soeplong","1","BAP|HHNR",1
"soep-core","BBP","HHNR","_cid","soeplong","1","BBP|HHNR",1
"soep-core","BCP","HHNR","_cid","soeplong","1","BCP|HHNR",1
"soep-core","APKAL","HHNR","_cid","soeplong","1","APKAL|HHNR",1
"soep-core","BPKAL","HHNR","_cid","soeplong","1","BPKAL|HHNR",1
"soep-core","CPKAL","HHNR","_cid","soeplong","1","CPKAL|HHNR",1
"soep-core","DPKAL","HHNR","_cid","soeplong","1","DPKAL|HHNR",1
"soep-core","EPKAL","HHNR","_cid","soeplong","1","EPKAL|HHNR",1
"soep-core","FPKAL","HHNR","_cid","soeplong","1","FPKAL|HHNR",1
"soep-core","GPKAL","HHNR","_cid","soeplong","1","GPKAL|HHNR",1
"soep-core","GPKALOST","HHNR","_cid","soeplong","1","GPKALOST|HHNR",1
"soep-core","HPKAL","HHNR","_cid","soeplong","1","HPKAL|HHNR",1
"soep-core","HPKALOST","HHNR","_cid","soeplong","1","HPKALOST|HHNR",1
"soep-core","IPKAL","HHNR","_cid","soeplong","1","IPKAL|HHNR",1
"soep-core","JPKAL","HHNR","_cid","soeplong","1","JPKAL|HHNR",1
"soep-core","KPKAL","HHNR","_cid","soeplong","1","KPKAL|HHNR",1
"soep-core","LPKAL","HHNR","_cid","soeplong","1","LPKAL|HHNR",1
"soep-core","MPKAL","HHNR","_cid","soeplong","1","MPKAL|HHNR",1
"soep-core","NPKAL","HHNR","_cid","soeplong","1","NPKAL|HHNR",1
"soep-core","OPKAL","HHNR","_cid","soeplong","1","OPKAL|HHNR",1
"soep-core","PPKAL","HHNR","_cid","soeplong","1","PPKAL|HHNR",1
"soep-core","QPKAL","HHNR","_cid","soeplong","1","QPKAL|HHNR",1
"soep-core","RPKAL","HHNR","_cid","soeplong","1","RPKAL|HHNR",1
"soep-core","SPKAL","HHNR","_cid","soeplong","1","SPKAL|HHNR",1
