study_name,dataset_name,variable_name,concept_name,description
soep-core,abroad,hhnrakt,_hid,
soep-core,abroad,hhnr,_cid,
soep-core,abroad,pid,_pid,
soep-core,abroad,syear,_syear,
soep-core,abroad,cid,_cid,
soep-core,abroad,hid,_hid,
soep-core,abroad,persnr,_pid,
soep-core,abroad,f0101,item_5899,
soep-core,abroad,pgeb,item_5979,
soep-core,abroad,f0103,,
soep-core,abroad,f0201,item_5901,
soep-core,abroad,f0202,item_5902,
soep-core,abroad,f0301,item_5903,
soep-core,abroad,f0302,item_5904,
soep-core,abroad,f0401,item_5906,
soep-core,abroad,f0402,item_5907,
soep-core,abroad,f0403,item_5908,
soep-core,abroad,f0404,item_5909,
soep-core,abroad,f0405,item_5910,
soep-core,abroad,f0406,item_5911,
soep-core,abroad,f0407,item_5912,
soep-core,abroad,f0408,item_5913,
soep-core,abroad,f0409,item_5914,
soep-core,abroad,f0410,item_5915,
soep-core,abroad,f0501,item_5917,
soep-core,abroad,f0502,item_5918,
soep-core,abroad,f1503,item_5958,
soep-core,abroad,f0504,item_5920,
soep-core,abroad,f0505,item_5921,
soep-core,abroad,f06,item_5924,
soep-core,abroad,f0506,item_5922,
soep-core,abroad,f0701,item_5925,
soep-core,abroad,f0702,item_5926,
soep-core,abroad,f0704,item_5928,
soep-core,abroad,f0703,item_5927,
soep-core,abroad,f0705,item_5929,
soep-core,abroad,f0706,item_5930,
soep-core,abroad,f0801,item_5932,
soep-core,abroad,f0802,item_5933,
soep-core,abroad,f0803,item_5934,
soep-core,abroad,f0804,item_5935,
soep-core,abroad,f0901,item_5936,
soep-core,abroad,f0902,item_5937,
soep-core,abroad,f0903,item_5938,
soep-core,abroad,f0904,item_5939,
soep-core,abroad,f0905,item_5940,
soep-core,abroad,f0906,item_5941,
soep-core,abroad,f0907,item_5942,
soep-core,abroad,f0908,item_5943,
soep-core,abroad,f0909,item_5944,
soep-core,abroad,f0910,item_5945,
soep-core,abroad,f0911,item_5946,
soep-core,abroad,f10,item_5947,
soep-core,abroad,f11,item_5948,
soep-core,abroad,f12,item_5949,
soep-core,abroad,f1301,item_5950,
soep-core,abroad,f1302,item_5951,
soep-core,abroad,f1303,item_5952,
soep-core,abroad,f1304,item_5953,
soep-core,abroad,f1305,item_5954,
soep-core,abroad,f14,item_5955,
soep-core,abroad,f1501,item_5956,
soep-core,abroad,f1502,item_5957,
soep-core,abroad,f0503,item_5919,
soep-core,abroad,f1504,item_5959,
soep-core,abroad,f1505,item_5960,
soep-core,abroad,f1506,item_5961,
soep-core,abroad,f1507,item_5962,
soep-core,abroad,f1508,item_5963,
soep-core,abroad,f1509,item_5964,
soep-core,abroad,f16,item_5966,
soep-core,abroad,f17,item_5967,
soep-core,abroad,f18,item_5968,
soep-core,abroad,f19,item_5969,
soep-core,abroad,f20,item_5970,
soep-core,abroad,f2101,item_5971,
soep-core,abroad,f2102,item_5972,
soep-core,abroad,f2103,item_5973,
soep-core,abroad,f22,item_5974,
soep-core,abroad,f2301,item_5975,
soep-core,abroad,f0102,item_5900,
soep-core,abroad,pnat,item_5505,
soep-core,abroad,sex,pla0008,
soep-core,abroad,sample1,sample1,
soep-core,abroad,zupan,item_5523,
soep-core,abroad,lint,item_5526,
soep-core,abroad,erg,item_5898,
soep-core,abroad,hader,item_5976,
soep-core,abroad,land,item_5977,
soep-core,abroad,ruecklauf,item_7495,
soep-core,abroad,auspan,item_7496,
soep-core,ah,hhnr,_cid,
soep-core,ah,hhnrakt,_hid,
soep-core,ah,welle,jahr,
soep-core,ah,cid,_cid,
soep-core,ah,ahhnr,_hid,
soep-core,ah,hid,_hid,
soep-core,ah,syear,_syear,
soep-core,ah,sample1,sample1,
soep-core,ah,ahdaer1,hdauer1,
soep-core,ah,aauskper,pnr,
soep-core,ah,ah02,_2599_h_sdr,
soep-core,ah,ah0301,_2600_h_sdr,
soep-core,ah,ah0302,_2601_h_sdr,
soep-core,ah,ah0401,_2602_h_sdr,
soep-core,ah,ah0402,_2603_h_sdr,
soep-core,ah,ah0403,_2604_h_sdr,
soep-core,ah,ah0405,_2606_h_sdr,
soep-core,ah,ah0404,_2605_h_sdr,
soep-core,ah,ah0406,_2607_h_sdr,
soep-core,ah,ah0407,_2608_h_sdr,
soep-core,ah,ah0408,_2609_h_sdr,
soep-core,ah,ah0409,_2610_h_sdr,
soep-core,ah,ah0410,_2611_h_sdr,
soep-core,ah,ah0501,_2612_h_sdr,
soep-core,ah,ah0502,_2613_h_sdr,
soep-core,ah,ah0503,_2614_h_sdr,
soep-core,ah,ah0504,_2615_h_sdr,
soep-core,ah,ah0505,_2616_h_sdr,
soep-core,ah,ah0506,_2617_h_sdr,
soep-core,ah,ah0507,_2618_h_sdr,
soep-core,ah,ah06,hkind,
soep-core,ah,ah08,hpfleg,
soep-core,ah,ah09,hwohn09,
soep-core,ah,ah10,hzus,
soep-core,ah,ah11,hlf0101,
soep-core,ah,ah12,_2590_h_mpl,
soep-core,ah,ah1301,_2591_h_mpl,
soep-core,ah,ah1302,_2592_h_mpl,
soep-core,ah,ah1303,_2593_h_mpl,
soep-core,ah,ah14,hqm,
soep-core,ah,ah15,hraum,
soep-core,ah,ah16,hgr,
soep-core,ah,ah1701,hwohn10,
soep-core,ah,ah1702,hwohn11,
soep-core,ah,ah1703,hwohn13,
soep-core,ah,ah1704,hwohn14,
soep-core,ah,ah1705,hwohn15,
soep-core,ah,ah1706,hwohn16,
soep-core,ah,ah1707,hwohn17,
soep-core,ah,ah18,hmiet,
soep-core,ah,ah1901,hm04,
soep-core,ah,ah1902,hm05,
soep-core,ah,ah20,hm12,
soep-core,ah,ah21,_2481_h_mmd,
soep-core,ah,ah22,_2559_h_mmd,
soep-core,ah,ah23,hm03,
soep-core,ah,ah24,hew3,
soep-core,ah,ah25,_2634_h_fow,
soep-core,ah,ah2601,he02,
soep-core,ah,ah2602,he05,
soep-core,ah,ah27,he08,
soep-core,ah,ah28,hlwg1,
soep-core,ah,ah29,hlwg2,
soep-core,ah,ah30,hlwg3,
soep-core,ah,ah31,hlkg1,
soep-core,ah,ah32,hlsh,
soep-core,ah,ah33,hlsh1,
soep-core,ah,ah34,hlsh2,
soep-core,ah,ah35,hlsh3,
soep-core,ah,ah3601,hlshb1,
soep-core,ah,ah3602,hlshb,
soep-core,ah,ah37,hlshb2,
soep-core,ah,ah38,hdsh1,
soep-core,ah,ah39,hlc0099,
soep-core,ah,ah40,hverm1,
soep-core,ah,ah41,hverm2,
soep-core,ah,ah4201,hverm3,
soep-core,ah,ah4202,_2619_h_dtl,
soep-core,ah,ah4301,hwa1,
soep-core,ah,ah4203,_2560_h_dtl,
soep-core,ah,ah4302,hwa2,
soep-core,ah,ah4303,hwa3,
soep-core,ah,ah4304,hwa4,
soep-core,ah,ah4305,hwa6,
soep-core,ah,ah4306,hwa7,
soep-core,ah,ah44,_2620_h_iid,
soep-core,ah,ah45,hzins1,
soep-core,ah,ah46,hnetto,
soep-core,ah,ahtagin,hdatt,
soep-core,ah,ahmonin,hdatm,
soep-core,ahbrutto,cid,_cid,
soep-core,ahbrutto,hid,_hid,
soep-core,ahbrutto,welle,jahr,
soep-core,ahbrutto,ahhnr,_hid,
soep-core,ahbrutto,hhnr,_cid,
soep-core,ahbrutto,hhnrakt,_hid,
soep-core,ahbrutto,syear,_syear,
soep-core,ahbrutto,sample1,sample1,
soep-core,ahbrutto,ahhgr,hhgr,
soep-core,ahbrutto,awum1,wum1,
soep-core,ahbrutto,awum2,wum2,
soep-core,ahbrutto,awum3,wum3,
soep-core,ahbrutto,abula,bula,
soep-core,ahbrutto,aregtyp,regtyp,
soep-core,ahgen,hhnr,_cid,
soep-core,ahgen,hhnrakt,_hid,
soep-core,ahgen,syear,_syear,
soep-core,ahgen,cid,_cid,
soep-core,ahgen,ahhnr,_hid,
soep-core,ahgen,hid,_hid,
soep-core,ahgen,moveyr84,_hgen_hgmoveyr,
soep-core,ahgen,owner84,_hgen_hgowner,
soep-core,ahgen,cnstyrmin84,hgcnstyrmin,
soep-core,ahgen,cnstyrmax84,hgcnstyrmax,
soep-core,ahgen,condit84,_hgen_hgcondit,
soep-core,ahgen,acquis84,_hgen_hgacquis,
soep-core,ahgen,reval84,_hgen_hgreval,
soep-core,ahgen,seval84,_hgen_hgseval,
soep-core,ahgen,eqpkit84,_hgen_hgeqpkit,
soep-core,ahgen,eqpshw84,_hgen_hgeqpshw,
soep-core,ahgen,eqpiwc84,_hgen_hgeqpiwc,
soep-core,ahgen,eqphea84,_hgen_hgeqphea,
soep-core,ahgen,eqpter84,_hgen_hgeqpter,
soep-core,ahgen,eqpbas84,_hgen_hgeqpbas,
soep-core,ahgen,eqpgar84,_hgen_hgeqpgar,
soep-core,ahgen,eqpwat84,_hgen_hgeqpwat,
soep-core,ahgen,eqptel84,_hgen_hgeqptel,
