origin_study_name,origin_dataset_name,origin_variable_name,target_study_name,target_dataset_name,target_variable_name
soep-core,ah,aauskper,soep-core,hl,h_pnr
soep-core,ah,ah02,soep-core,hl,hlk0024
soep-core,ah,ah0301,soep-core,hl,hlk0025
soep-core,ah,ah0302,soep-core,hl,hlk0026
soep-core,ah,ah0401,soep-core,hl,hlk0027
soep-core,ah,ah0402,soep-core,hl,hlk0028
soep-core,ah,ah0403,soep-core,hl,hlk0029
soep-core,ah,ah0404,soep-core,hl,hlk0030
soep-core,ah,ah0405,soep-core,hl,hlk0031
soep-core,ah,ah0406,soep-core,hl,hlk0032
soep-core,ah,ah0407,soep-core,hl,hlk0033
soep-core,ah,ah0408,soep-core,hl,hlk0034
soep-core,ah,ah0409,soep-core,hl,hlk0035
soep-core,ah,ah0410,soep-core,hl,hlk0036
soep-core,ah,ah0501,soep-core,hl,hlk0037
soep-core,ah,ah0502,soep-core,hl,hlk0038
soep-core,ah,ah0503,soep-core,hl,hlk0039
soep-core,ah,ah0504,soep-core,hl,hlk0040
soep-core,ah,ah0505,soep-core,hl,hlk0041
soep-core,ah,ah0506,soep-core,hl,hlk0042
soep-core,ah,ah0507,soep-core,hl,hlk0043
soep-core,ah,ah06,soep-core,hl,hlk0044
soep-core,ah,ah08,soep-core,hl,hlf0291
soep-core,ah,ah09,soep-core,hl,hlf0016
soep-core,ah,ah10,soep-core,hl,hlf0059_v1
soep-core,ah,ah10,soep-core,hl,hlf0059_h
soep-core,ah,ah11,soep-core,hl,hlf0101
soep-core,ah,ah12,soep-core,hl,hlf0097
soep-core,ah,ah1301,soep-core,hl,hlf0098
soep-core,ah,ah1302,soep-core,hl,hlf0099
soep-core,ah,ah1303,soep-core,hl,hlf0100
soep-core,ah,ah14,soep-core,hl,hlf0019_v1
soep-core,ah,ah14,soep-core,hl,hlf0019_h
soep-core,ah,ah15,soep-core,hl,hlf0021_v1
soep-core,ah,ah15,soep-core,hl,hlf0021_h
soep-core,ah,ah16,soep-core,hl,hlf0071_v1
soep-core,ah,ah16,soep-core,hl,hlf0071_h
soep-core,ah,ah1701,soep-core,hl,hlf0024
soep-core,ah,ah1702,soep-core,hl,hlf0025
soep-core,ah,ah1703,soep-core,hl,hlf0027
soep-core,ah,ah1704,soep-core,hl,hlf0028
soep-core,ah,ah1705,soep-core,hl,hlf0030
