study_name,dataset_name,variable_name,question_name,instrument_name
soep-core,mpgen,mpbbil03,3,soep-core-1996-pe
soep-core,npequiv,fhouse97,97,soep-core-1989-hh
soep-core,npgen,npbbil01,1,soep-core-1997-pe
soep-core,npgen,npbbil02,2,soep-core-1997-pe
soep-core,npgen,npbbil03,3,soep-core-1997-pe
soep-core,opequiv,fhouse98,98,soep-core-1989-hh
soep-core,opgen,opbbil01,1,soep-core-1998-pe
soep-core,opgen,opbbil02,2,soep-core-1998-pe
soep-core,opgen,opbbil03,3,soep-core-1998-pe
soep-core,ppequiv,fhouse99,99,soep-core-1989-hh
soep-core,ppgen,ppbbil01,1,soep-core-1999-pe
soep-core,ppgen,ppbbil02,2,soep-core-1999-pe
soep-core,ppgen,ppbbil03,3,soep-core-1999-pe
soep-core,qpequiv,fhouse00,0,soep-core-1989-hh
soep-core,qpgen,qpbbil01,1,soep-core-2000-pe
soep-core,qpgen,qpbbil02,2,soep-core-2000-pe
soep-core,qpgen,qpbbil03,3,soep-core-2000-pe
soep-core,rpequiv,fhouse01,1,soep-core-1989-hh
soep-core,rpgen,rpbbil01,1,soep-core-2001-pe
soep-core,rpgen,rpbbil02,2,soep-core-2001-pe
soep-core,rpgen,rpbbil03,3,soep-core-2001-pe
soep-core,spequiv,fhouse02,2,soep-core-1989-hh
soep-core,spgen,spbbil01,1,soep-core-2002-pe
soep-core,spgen,spbbil02,2,soep-core-2002-pe
soep-core,spgen,spbbil03,3,soep-core-2002-pe
soep-core,tpequiv,fhouse03,3,soep-core-1989-hh
soep-core,tpgen,tpbbil01,1,soep-core-2003-pe
soep-core,tpgen,tpbbil02,2,soep-core-2003-pe
soep-core,tpgen,tpbbil03,3,soep-core-2003-pe
soep-core,upequiv,fhouse04,4,soep-core-1989-hh
soep-core,upgen,upbbil01,1,soep-core-2004-pe
soep-core,upgen,upbbil02,2,soep-core-2004-pe
soep-core,upgen,upbbil03,3,soep-core-2004-pe
soep-core,vpequiv,fhouse05,5,soep-core-1989-hh
soep-core,vpgen,vpbbil01,1,soep-core-2005-pe
soep-core,vpgen,vpbbil02,2,soep-core-2005-pe
soep-core,vpgen,vpbbil03,3,soep-core-2005-pe
soep-core,wpequiv,fhouse06,6,soep-core-1989-hh
soep-core,wpgen,wpbbil01,1,soep-core-2006-pe
soep-core,wpgen,wpbbil02,2,soep-core-2006-pe
soep-core,wpgen,wpbbil03,3,soep-core-2006-pe
soep-core,xpequiv,fhouse07,7,soep-core-1989-hh
soep-core,xpgen,xpbbil01,1,soep-core-2007-pe
soep-core,xpgen,xpbbil02,2,soep-core-2007-pe
soep-core,xpgen,xpbbil03,3,soep-core-2007-pe
soep-core,ypequiv,fhouse08,8,soep-core-1989-hh
soep-core,ypgen,ypbbil01,1,soep-core-2008-pe
soep-core,ypgen,ypbbil02,2,soep-core-2008-pe
soep-core,ypgen,ypbbil03,3,soep-core-2008-pe
soep-core,zpequiv,fhouse09,9,soep-core-1989-hh
soep-core,zpgen,zpbbil01,1,soep-core-2009-pe
soep-core,zpgen,zpbbil02,2,soep-core-2009-pe
soep-core,zpgen,zpbbil03,3,soep-core-2009-pe
soep-core,ahgen,fheat84,84,soep-core-1989-hh
soep-core,ahgen,fhinc84,84,soep-core-1989-hh
soep-core,apequiv,chspt84,84,soep-core-1986-hh
soep-core,apequiv,fholy84,84,soep-core-1989-hh
soep-core,apequiv,fhsup84,84,soep-core-1989-hh
soep-core,apequiv,fprvp84,84,soep-core-1989-pe
soep-core,apequiv,iholy84,84,soep-core-1992-hh
soep-core,apequiv,iprv184,18,soep-core-1992-pe
soep-core,apequiv,iprv284,28,soep-core-1992-pe
soep-core,apequiv,iprvp84,84,soep-core-1992-pe
soep-core,apequiv,opery84,84,soep-core-1998-pe
soep-core,bahgen,fheat10,10,soep-core-1989-hh
soep-core,bahgen,fhinc10,10,soep-core-1989-hh
soep-core,bapequiv,chspt10,10,soep-core-1986-hh
soep-core,bapequiv,fholy10,10,soep-core-1989-hh
soep-core,bapequiv,fhsup10,10,soep-core-1989-hh
soep-core,bapequiv,fprvp10,10,soep-core-1989-pe
soep-core,bapequiv,iholy10,10,soep-core-1992-hh
soep-core,bapequiv,iprv110,11,soep-core-1992-pe
soep-core,bapequiv,iprv210,21,soep-core-1992-pe
soep-core,bapequiv,iprvp10,10,soep-core-1992-pe
soep-core,bapequiv,opery10,10,soep-core-1998-pe
soep-core,bbhgen,fheat11,11,soep-core-1989-hh
soep-core,bbhgen,fhinc11,11,soep-core-1989-hh
soep-core,bbpequiv,chspt11,11,soep-core-1986-hh
soep-core,bbpequiv,fholy11,11,soep-core-1989-hh
soep-core,bbpequiv,fhsup11,11,soep-core-1989-hh
soep-core,bbpequiv,fprvp11,11,soep-core-1989-pe
soep-core,bbpequiv,iholy11,11,soep-core-1992-hh
soep-core,bbpequiv,iprv111,11,soep-core-1992-pe
soep-core,bbpequiv,iprv211,21,soep-core-1992-pe
soep-core,bbpequiv,iprvp11,11,soep-core-1992-pe
soep-core,bbpequiv,opery11,11,soep-core-1998-pe
soep-core,bchgen,fheat12,12,soep-core-1989-hh
soep-core,bchgen,fhinc12,12,soep-core-1989-hh
soep-core,bcpequiv,chspt12,12,soep-core-1986-hh
soep-core,bcpequiv,fholy12,12,soep-core-1989-hh
soep-core,bcpequiv,fhsup12,12,soep-core-1989-hh
soep-core,bcpequiv,fprvp12,12,soep-core-1989-pe
soep-core,bcpequiv,iholy12,12,soep-core-1992-hh
soep-core,bcpequiv,iprv112,11,soep-core-1992-pe
soep-core,bcpequiv,iprv212,21,soep-core-1992-pe
soep-core,bcpequiv,iprvp12,12,soep-core-1992-pe
soep-core,bcpequiv,opery12,12,soep-core-1998-pe
soep-core,bdhgen,fheat13,13,soep-core-1989-hh
soep-core,bdhgen,fhinc13,13,soep-core-1989-hh
soep-core,bdpequiv,chspt13,13,soep-core-1986-hh
soep-core,bdpequiv,fholy13,13,soep-core-1989-hh
soep-core,bdpequiv,fhsup13,13,soep-core-1989-hh
soep-core,bdpequiv,fprvp13,13,soep-core-1989-pe
soep-core,bdpequiv,iholy13,13,soep-core-1992-hh
soep-core,bdpequiv,iprv113,11,soep-core-1992-pe
soep-core,bdpequiv,iprv213,21,soep-core-1992-pe
soep-core,bdpequiv,iprvp13,13,soep-core-1992-pe
soep-core,bdpequiv,opery13,13,soep-core-1998-pe
soep-core,behgen,fheat14,14,soep-core-1989-hh
soep-core,behgen,fhinc14,14,soep-core-1989-hh
soep-core,bepequiv,chspt14,14,soep-core-1986-hh
soep-core,bepequiv,fholy14,14,soep-core-1989-hh
soep-core,bepequiv,fhsup14,14,soep-core-1989-hh
