study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-core,ah,ah11,,hlf0101,,,,,,false
soep-core,ah,ah12,,_2590_h_mpl,,,,,,false
soep-core,ah,ah1301,,_2591_h_mpl,,,,,,false
soep-core,ah,ah1302,,_2592_h_mpl,,,,,,false
soep-core,ah,ah1303,,_2593_h_mpl,,,,,,false
soep-core,ah,ah14,,hqm,,,,,,false
soep-core,ah,ah15,,hraum,,,,,,false
soep-core,ah,ah16,,hgr,,,,,,false
soep-core,ah,ah1701,,hwohn10,,,,,,false
soep-core,ah,ah1702,,hwohn11,,,,,,false
soep-core,ah,ah1703,,hwohn13,,,,,,false
soep-core,ah,ah1704,,hwohn14,,,,,,false
soep-core,ah,ah1705,,hwohn15,,,,,,false
soep-core,ah,ah1706,,hwohn16,,,,,,false
soep-core,ah,ah1707,,hwohn17,,,,,,false
soep-core,ah,ah18,,hmiet,,,,,,false
soep-core,ah,ah1901,,hm04,,,,,,false
soep-core,ah,ah1902,,hm05,,,,,,false
soep-core,ah,ah20,,hm12,,,,,,false
soep-core,ah,ah21,,_2481_h_mmd,,,,,,false
soep-core,ah,ah22,,_2559_h_mmd,,,,,,false
soep-core,ah,ah23,,hm03,,,,,,false
soep-core,ah,ah24,,hew3,,,,,,false
soep-core,ah,ah25,,_2634_h_fow,,,,,,false
soep-core,ah,ah2601,,he02,,,,,,false
soep-core,ah,ah2602,,he05,,,,,,false
soep-core,ah,ah27,,he08,,,,,,false
soep-core,ah,ah28,,hlwg1,,,,,,false
soep-core,ah,ah29,,hlwg2,,,,,,false
soep-core,ah,ah30,,hlwg3,,,,,,false
soep-core,ah,ah31,,hlkg1,,,,,,false
soep-core,ah,ah32,,hlsh,,,,,,false
soep-core,ah,ah33,,hlsh1,,,,,,false
soep-core,ah,ah34,,hlsh2,,,,,,false
soep-core,ah,ah35,,hlsh3,,,,,,false
soep-core,ah,ah3601,,hlshb1,,,,,,false
soep-core,ah,ah3602,,hlshb,,,,,,false
soep-core,ah,ah37,,hlshb2,,,,,,false
soep-core,ah,ah38,,hdsh1,,,,,,false
soep-core,ah,ah39,,hlc0099,,,,,,false
soep-core,ah,ah40,,hverm1,,,,,,false
soep-core,ah,ah41,,hverm2,,,,,,false
soep-core,ah,ah4201,,hverm3,,,,,,false
soep-core,ah,ah4202,,_2619_h_dtl,,,,,,false
soep-core,ah,ah4203,,_2560_h_dtl,,,,,,false
soep-core,ah,ah4301,,hwa1,,,,,,false
soep-core,ah,ah4302,,hwa2,,,,,,false
soep-core,ah,ah4303,,hwa3,,,,,,false
soep-core,ah,ah4304,,hwa4,,,,,,false
soep-core,ah,ah4305,,hwa6,,,,,,false
soep-core,ah,ah4306,,hwa7,,,,,,false
soep-core,ah,ah44,,_2620_h_iid,,,,,,false
soep-core,ah,ah45,,hzins1,,,,,,false
soep-core,ah,ah46,,hnetto,,,,,,false
soep-core,ah,ahdaer1,,hdauer1,,,,,,false
soep-core,ah,ahhnr,,_hid,,,,,,false
soep-core,ah,ahmonin,,hdatm,,,,,,false
soep-core,ah,ahtagin,,hdatt,,,,,,false
soep-core,ah,hhnr,,_cid,,,,,,false
soep-core,ah,hhnrakt,,_hid,,,,,,false
soep-core,ah,sample1,,sample1,,,,,,false
soep-core,ah,welle,,jahr,,,,,,false
soep-core,ahbrutto,abula,,bula,,,,,,false
soep-core,ahbrutto,ahhgr,,hhgr,,,,,,false
soep-core,ahbrutto,ahhnr,,_hid,,,,,,false
soep-core,ahbrutto,aregtyp,,regtyp,,,,,,false
soep-core,ahbrutto,awum1,,wum1,,,,,,false
soep-core,ahbrutto,awum2,,wum2,,,,,,false
soep-core,ahbrutto,awum3,,wum3,,,,,,false
soep-core,ahbrutto,hhnr,,_cid,,,,,,false
soep-core,ahbrutto,hhnrakt,,_hid,,,,,,false
soep-core,ahbrutto,sample1,,sample1,,,,,,false
soep-core,ahbrutto,welle,,jahr,,,,,,false
soep-core,ahgen,acquis84,,_hgen_hgacquis,,,,,,false
soep-core,ahgen,ahhnr,,_hid,,,,,,false
soep-core,ahgen,ahinc84,,_hgen_hgahinc,,,,,,false
soep-core,ahgen,cnstyr84,,_hgen_hgcnstyr,,,,,,false
soep-core,ahgen,condit84,,_hgen_hgcondit,,,,,,false
soep-core,ahgen,electr84,,_hgen_hgelectr,,,,,,false
soep-core,ahgen,eqpair84,,_hgen_hgeqpair,,,,,,false
soep-core,ahgen,eqpalm84,,_hgen_hgeqpalm,,,,,,false
soep-core,ahgen,eqpbas84,,_hgen_hgeqpbas,,,,,,false
soep-core,ahgen,eqpgar84,,_hgen_hgeqpgar,,,,,,false
soep-core,ahgen,eqphea84,,_hgen_hgeqphea,,,,,,false
soep-core,ahgen,eqpiwc84,,_hgen_hgeqpiwc,,,,,,false
soep-core,ahgen,eqpkit84,,_hgen_hgeqpkit,,,,,,false
soep-core,ahgen,eqplif84,,_hgen_hgeqplif,,,,,,false
soep-core,ahgen,eqpnrj84,,_hgen_hgeqpnrj,,,,,,false
soep-core,ahgen,eqpshw84,,_hgen_hgeqpshw,,,,,,false
soep-core,ahgen,eqpsol84,,_hgen_hgeqpsol,,,,,,false
soep-core,ahgen,eqptel84,,_hgen_hgeqptel,,,,,,false
soep-core,ahgen,eqpter84,,_hgen_hgeqpter,,,,,,false
soep-core,ahgen,eqpwat84,,_hgen_hgeqpwat,,,,,,false
soep-core,ahgen,felectr84,,_hgen_hgfelectr,,,,,,false
soep-core,ahgen,fheat84,,_hgen_hgfheat,,,,,,false
soep-core,ahgen,fhinc84,,_hgen_hgfhinc,,,,,,false
soep-core,ahgen,frent84,,_hgen_hgfrent,,,,,,false
soep-core,ahgen,froom84,,_hgen_hgfroom,,,,,,false
soep-core,ahgen,fsize84,,_hgen_hgfsize,,,,,,false
soep-core,ahgen,futil84,,_hgen_hgfutil,,,,,,false
soep-core,ahgen,heat84,,_hgen_hgheat,,,,,,false
soep-core,ahgen,hhnr,,_cid,,,,,,false
soep-core,ahgen,hhnrakt,,_hid,,,,,,false
soep-core,ahgen,hinc84,,_hgen_hghinc,,,,,,false
soep-core,ahgen,hmode84,,_hgen_hghmode,,,,,,false
soep-core,ahgen,hmonth84,,_hgen_hghmonth,,,,,,false
soep-core,ahgen,i1hinc84,,_hgen_hgi1hinc,,,,,,false
soep-core,ahgen,i2hinc84,,_hgen_hgi2hinc,,,,,,false
soep-core,ahgen,i3hinc84,,_hgen_hgi3hinc,,,,,,false
soep-core,ahgen,i4hinc84,,_hgen_hgi4hinc,,,,,,false
soep-core,ahgen,i5hinc84,,_hgen_hgi5hinc,,,,,,false
soep-core,ahgen,moveyr84,,_hgen_hgmoveyr,,,,,,false
soep-core,ahgen,norent84,,_hgen_hgnorent,,,,,,false
soep-core,ahgen,nuts184,,_hgen_hgnuts1,,,,,,false
soep-core,ahgen,osubs84,,_hgen_hgosubs,,,,,,false
soep-core,ahgen,owner84,,_hgen_hgowner,,,,,,false
soep-core,ahgen,reduc84,,_hgen_hgreduc,,,,,,false
soep-core,ahgen,rent84,,_hgen_hgrent,,,,,,false
soep-core,ahgen,reval84,,_hgen_hgreval,,,,,,false
soep-core,ahgen,room84,,_hgen_hgroom,,,,,,false
soep-core,ahgen,rsubs84,,_hgen_hgrsubs,,,,,,false
soep-core,ahgen,seval84,,_hgen_hgseval,,,,,,false
soep-core,ahgen,size84,,_hgen_hgsize,,,,,,false
soep-core,ahgen,subsid84,,_hgen_hgsubsid,,,,,,false
soep-core,ahgen,typ1hh84,,_hgen_hgtyp1hh,,,,,,false
soep-core,ahgen,typ2hh84,,_hgen_hgtyp2hh,,,,,,false
soep-core,ahgen,util84,,_hgen_hgutil,,,,,,false
soep-core,akind,ahhgr,,hhgr,,,,,,false
soep-core,akind,ahhnr,,_hid,,,,,,false
soep-core,akind,ak0701,,hknr,,,,,,false
soep-core,akind,ak0703,,hein1,,,,,,false
soep-core,akind,ak0704,,hein3,,,,,,false
soep-core,akind,ak0705,,item_2132,,,,,,false
soep-core,akind,ak0706,,hein4,,,,,,false
soep-core,akind,ak07a,,_2139_kind_ona,,,,,,false
soep-core,akind,akgeburt,,item_2106,,,,,,false
soep-core,akind,akhv,,_ptr_to_khv,,,,,,false
soep-core,akind,akhvp,,_ptr_to_khv_prtn,,,,,,false
soep-core,akind,akinhh,,_kinhh,,,,,,false
soep-core,akind,akmup,,_ptr_to_mutti_prtnr,,,,,,false
soep-core,akind,akmutti,,_ptr_to_mutti,,,,,,false
soep-core,akind,akname,,,,,,,,
soep-core,akind,aksex,,item_2107,,,,,,false
soep-core,akind,akstell,,_kstell,,,,,,false
soep-core,akind,akzahl,,_kzahl,,,,,,false
soep-core,akind,hhnr,,_cid,,,,,,false
soep-core,akind,hhnrakt,,_hid,,,,,,false
soep-core,akind,persnr,,_pid,,,,,,false
soep-core,akind,sampel,,item_2138,,,,,,false
soep-core,akind,welle,,jahr,,,,,,false
soep-core,ap,abefrper,,pnr,,,,,,false
soep-core,ap,ahhnr,,_hid,,,,,,false
soep-core,ap,ap0101,,pwerk1,,,,,,false
soep-core,ap,ap0102,,pwerk6,,,,,,false
soep-core,ap,ap0103,,pwerk3,,,,,,false
soep-core,ap,ap0104,,pwerk7,,,,,,false
soep-core,ap,ap0105,,_1464_p_tim,,,,,,false
soep-core,ap,ap0106,,pwerk8,,,,,,false
soep-core,ap,ap0107,,_99_p_tim,,,,,,false
soep-core,ap,ap0108,,_133_p_tim,,,,,,false
soep-core,ap,ap0109,,_117_p_tim,,,,,,false
soep-core,ap,ap0110,,_140_p_tim,,,,,,false
soep-core,ap,ap0111,,_1468_p_ltm,,,,,,false
soep-core,ap,ap0112,,pci0003,,,,,,false
soep-core,ap,ap0201,,pfrei17,,,,,,false
soep-core,ap,ap0202,,pfz3,,,,,,false
soep-core,ap,ap0203,,pfz5,,,,,,false
soep-core,ap,ap0204,,pfrei06,,,,,,false
soep-core,ap,ap0205,,pfz6,,,,,,false
soep-core,ap,ap0206,,pfrei05,,,,,,false
soep-core,ap,ap0301,,pzuf01,,,,,,false
soep-core,ap,ap0302,,pzuf04,,,,,,false
soep-core,ap,ap0303,,pzuf07,,,,,,false
soep-core,ap,ap0304,,pzuf02,,,,,,false
soep-core,ap,ap0305,,pzuf03,,,,,,false
soep-core,ap,ap0306,,pzuf08,,,,,,false
soep-core,ap,ap04,,paus1,,,,,,false
soep-core,ap,ap0501,,paus2,,,,,,false
soep-core,ap,ap0502,,paus3,,,,,,false
soep-core,ap,ap0503,,paus4,,,,,,false
soep-core,ap,ap0504,,paus4,,,,,,false
soep-core,ap,ap0505,,paus4,,,,,,false
soep-core,ap,ap0506,,paus4,,,,,,false
soep-core,ap,ap0507,,paus4,,,,,,false
soep-core,ap,ap0508,,paus5,,,,,,false
soep-core,ap,ap0509,,paus5,,,,,,false
soep-core,ap,ap0510,,paus5,,,,,,false
soep-core,ap,ap0511,,paus5,,,,,,false
soep-core,ap,ap0512,,paus5,,,,,,false
soep-core,ap,ap0513,,paus5,,,,,,false
soep-core,ap,ap0514,,paus5,,,,,,false
soep-core,ap,ap0515,,paus5,,,,,,false
soep-core,ap,ap06,,pabs02,,,,,,false
soep-core,ap,ap0701,,pabs07,,,,,,false
soep-core,ap,ap0702,,pabs08,,,,,,false
soep-core,ap,ap0703,,pabs09,,,,,,false
soep-core,ap,ap0704,,pabs10,,,,,,false
soep-core,ap,ap0705,,pabs11,,,,,,false
soep-core,ap,ap0706,,pabs12,,,,,,false
soep-core,ap,ap0707,,pabs13,,,,,,false
soep-core,ap,ap0708,,pabs14,,,,,,false
soep-core,ap,ap0709,,pabs15,,,,,,false
soep-core,ap,ap0710,,_1215_p_vod,,,,,,false
soep-core,ap,ap08,,perw,,,,,,false
soep-core,ap,ap09,,_1044_p_lme,,,,,,false
soep-core,ap,ap1001,,_1415_p_ocr,,,,,,false
soep-core,ap,ap1002,,_1416_p_ocr,,,,,,false
soep-core,ap,ap1003,,_1417_p_ocr,,,,,,false
soep-core,ap,ap1004,,_1418_p_ocr,,,,,,false
soep-core,ap,ap1005,,_1419_p_ocr,,,,,,false
soep-core,ap,ap1006,,_1420_p_ocr,,,,,,false
soep-core,ap,ap1007,,_1421_p_ocr,,,,,,false
soep-core,ap,ap1008,,_1423_p_ocr,,,,,,false
soep-core,ap,ap1009,,_1668_p_ocr,,,,,,false
soep-core,ap,ap1010,,_1669_p_ocr,,,,,,false
soep-core,ap,ap1011,,_1670_p_ocr,,,,,,false
soep-core,ap,ap1012,,_1430_p_ocr,,,,,,false
soep-core,ap,ap1013,,_1671_p_ocr,,,,,,false
soep-core,ap,ap1014,,_1672_p_ocr,,,,,,false
soep-core,ap,ap1015,,_1431_p_ocr,,,,,,false
soep-core,ap,ap1016,,_1673_p_ocr,,,,,,false
soep-core,ap,ap11,,_1045_p_jcl,,,,,,false
soep-core,ap,ap1201,,plb0277,,,,,,false
soep-core,ap,ap1202,,_1043_p_oct,,,,,,false
soep-core,ap,ap1401,,_1046_p_jcl,,,,,,false
soep-core,ap,ap15,,_1674_p_jcl,,,,,,false
soep-core,ap,ap1601,,_1047_p_jcl,,,,,,false
soep-core,ap,ap1602,,_1048_p_jcl,,,,,,false
soep-core,ap,ap1603,,_1049_p_jcl,,,,,,false
soep-core,ap,ap1604,,_1050_p_jcl,,,,,,false
soep-core,ap,ap1605,,_1051_p_jcl,,,,,,false
soep-core,ap,ap1701,,_1675_p_jcl,,,,,,false
soep-core,ap,ap1702,,_1676_p_jcl,,,,,,false
soep-core,ap,ap1703,,_1677_p_jcl,,,,,,false
soep-core,ap,ap1704,,_1678_p_jcl,,,,,,false
soep-core,ap,ap1705,,_1679_p_jcl,,,,,,false
soep-core,ap,ap1706,,_1680_p_jcl,,,,,,false
soep-core,ap,ap18,,pnerw02,,,,,,false
soep-core,ap,ap19,,pnerw03,,,,,,false
soep-core,ap,ap20,,pnerw04,,,,,,false
soep-core,ap,ap21,,pnerw09,,,,,,false
soep-core,ap,ap2201,,_1681_p_fte,,,,,,false
soep-core,ap,ap2202,,_1682_p_fte,,,,,,false
soep-core,ap,ap2301,,pseitj,,,,,,false
soep-core,ap,ap2302,,pseitm,,,,,,false
soep-core,ap,ap24_is88,,_634_p_oap,,,,,,false
soep-core,ap,ap24_klas,,_633_p_oap,,,,,,false
soep-core,ap,ap25,,pberja,,,,,,false
soep-core,ap,ap2601,,poed,,,,,,false
soep-core,ap,ap26_nace,,_1293_p_jcl,,,,,,false
soep-core,ap,ap27,,pgesunt,,,,,,false
soep-core,ap,ap2801,,parb,,,,,,false
soep-core,ap,ap2802,,_243_p_ocs,,,,,,false
soep-core,ap,ap2803,,pazubi,,,,,,false
soep-core,ap,ap2804,,pang,,,,,,false
soep-core,ap,ap2805,,pamt,,,,,,false
soep-core,ap,ap2901,,pberaus,,,,,,false
soep-core,ap,ap2902,,peinar1,,,,,,false
soep-core,ap,ap2903,,peinar2,,,,,,false
soep-core,ap,ap2904,,peinar3,,,,,,false
soep-core,ap,ap2905,,pberaus,,,,,,false
soep-core,ap,ap2906,,pberaus,,,,,,false
soep-core,ap,ap3001,,paz08,,,,,,false
soep-core,ap,ap3002,,paz09,,,,,,false
soep-core,ap,ap31,,paz10,,,,,,false
soep-core,ap,ap32,,pustd4,,,,,,false
soep-core,ap,ap3301,,pbrut,,,,,,false
soep-core,ap,ap3302,,pnett,,,,,,false
soep-core,ap,ap3401,,_1683_p_lme,,,,,,false
soep-core,ap,ap3402,,_1684_p_lme,,,,,,false
soep-core,ap,ap3403,,_1685_p_lme,,,,,,false
soep-core,ap,ap3501,,_1686_p_joc,,,,,,false
soep-core,ap,ap3502,,_1687_p_joc,,,,,,false
soep-core,ap,ap3901,,pzus01,,,,,,false
soep-core,ap,ap3902,,pzus011,,,,,,false
soep-core,ap,ap3903,,pzus02,,,,,,false
soep-core,ap,ap3904,,pzus021,,,,,,false
soep-core,ap,ap3905,,pzus03,,,,,,false
soep-core,ap,ap3906,,pzus031,,,,,,false
soep-core,ap,ap3907,,pzus04,,,,,,false
soep-core,ap,ap3908,,pzus041,,,,,,false
soep-core,ap,ap3909,,pzus06,,,,,,false
soep-core,ap,ap3910,,pzus061,,,,,,false
soep-core,ap,ap3911,,pzus07,,,,,,false
soep-core,ap,ap4001,,pzus08,,,,,,false
soep-core,ap,ap4002,,pzus081,,,,,,false
soep-core,ap,ap4003,,pzus09,,,,,,false
soep-core,ap,ap4004,,pzus091,,,,,,false
soep-core,ap,ap4005,,pzus10,,,,,,false
soep-core,ap,ap4101,,par1,,,,,,false
soep-core,ap,ap4102,,par1,,,,,,false
soep-core,ap,ap4103,,pwr1,,,,,,false
soep-core,ap,ap4104,,par10,,,,,,false
soep-core,ap,ap4105,,pwr10,,,,,,false
soep-core,ap,ap4106,,_439_p_pfd,,,,,,false
soep-core,ap,ap4107,,par2,,,,,,false
soep-core,ap,ap4108,,pwr2,,,,,,false
soep-core,ap,ap4109,,pwr2,,,,,,false
soep-core,ap,ap4110,,par3,,,,,,false
soep-core,ap,ap4111,,pwr3,,,,,,false
soep-core,ap,ap4112,,pwr3,,,,,,false
soep-core,ap,ap4113,,par11,,,,,,false
soep-core,ap,ap4114,,pwr11,,,,,,false
soep-core,ap,ap4115,,_445_p_pfd,,,,,,false
soep-core,ap,ap4116,,par4,,,,,,false
soep-core,ap,ap4117,,pwr4,,,,,,false
soep-core,ap,ap4118,,pwr4,,,,,,false
soep-core,ap,ap4119,,par5,,,,,,false
soep-core,ap,ap4120,,pwr5,,,,,,false
soep-core,ap,ap4121,,pwr5,,,,,,false
soep-core,ap,ap4122,,par6,,,,,,false
soep-core,ap,ap4123,,pwr6,,,,,,false
soep-core,ap,ap4124,,pwr6,,,,,,false
soep-core,ap,ap4125,,par8,,,,,,false
soep-core,ap,ap4126,,pwr8,,,,,,false
soep-core,ap,ap4127,,pwr8,,,,,,false
soep-core,ap,ap4201,,pkv03,,,,,,false
soep-core,ap,ap4202,,pkv03,,,,,,false
soep-core,ap,ap4203,,ppkv01,,,,,,false
soep-core,ap,ap4204,,pkv03,,,,,,false
soep-core,ap,ap4205,,pkv01,,,,,,false
soep-core,ap,ap4301,,_462_p_tin,,,,,,false
soep-core,ap,ap4302,,pkv02,,,,,,false
soep-core,ap,ap4303,,pkv02,,,,,,false
soep-core,ap,ap4304,,pkv02,,,,,,false
soep-core,ap,ap4305,,pkv01,,,,,,false
soep-core,ap,ap4306,,pkv02,,,,,,false
soep-core,ap,ap4307,,ppkv02,,,,,,false
soep-core,ap,ap4308,,ppkv05,,,,,,false
soep-core,ap,ap4401,,_911_p_pcn,,,,,,false
soep-core,ap,ap4402,,_1688_p_pcn,,,,,,false
soep-core,ap,ap4403,,_1689_p_pcn,,,,,,false
soep-core,ap,ap4404,,_912_p_pcn,,,,,,false
soep-core,ap,ap4405,,_913_p_pcn,,,,,,false
soep-core,ap,ap45,,_1196_p_tax,,,,,,false
soep-core,ap,ap46a01,,_1202_p_tax,,,,,,false
soep-core,ap,ap46a02,,_1203_p_tax,,,,,,false
soep-core,ap,ap46b01,,_1690_p_tax,,,,,,false
soep-core,ap,ap46b02,,_1691_p_tax,,,,,,false
soep-core,ap,ap46b03,,_1692_p_tax,,,,,,false
soep-core,ap,ap46b04,,_1693_p_tax,,,,,,false
soep-core,ap,ap46b05,,_1694_p_tax,,,,,,false
soep-core,ap,ap4701,,punt11,,,,,,false
soep-core,ap,ap4702,,punt12,,,,,,false
soep-core,ap,ap4703,,punt21,,,,,,false
soep-core,ap,ap4704,,punt22,,,,,,false
soep-core,ap,ap4705,,punt31,,,,,,false
soep-core,ap,ap4706,,punt32,,,,,,false
soep-core,ap,ap4707,,punt41,,,,,,false
soep-core,ap,ap4708,,punt42,,,,,,false
soep-core,ap,ap4709,,punt51,,,,,,false
soep-core,ap,ap4710,,punt52,,,,,,false
soep-core,ap,ap4711,,puntno,,,,,,false
soep-core,ap,ap47a01,,pld0120,,,,,,false
soep-core,ap,ap47a02,,pcd0013,,,,,,false
soep-core,ap,ap47a03,,pcd0014,,,,,,false
soep-core,ap,ap47a04,,pcd0015,,,,,,false
soep-core,ap,ap47a05,,pcd0016,,,,,,false
soep-core,ap,ap47b01,,pld0125,,,,,,false
soep-core,ap,ap47b02,,pld0126,,,,,,false
soep-core,ap,ap47b03,,pcd0017,,,,,,false
soep-core,ap,ap48,,pges02a,,,,,,false
soep-core,ap,ap49,,pkr17,,,,,,false
soep-core,ap,ap5001,,pdr2,,,,,,false
soep-core,ap,ap5002,,_1009_p_dov,,,,,,false
soep-core,ap,ap5003,,_1010_p_dov,,,,,,false
soep-core,ap,ap5004,,_1011_p_dov,,,,,,false
soep-core,ap,ap5005,,_1012_p_dov,,,,,,false
soep-core,ap,ap5006,,_1013_p_dov,,,,,,false
soep-core,ap,ap5007,,_1014_p_dov,,,,,,false
soep-core,ap,ap5008,,_1015_p_dov,,,,,,false
soep-core,ap,ap5009,,_1016_p_dov,,,,,,false
soep-core,ap,ap5010,,_1017_p_dov,,,,,,false
soep-core,ap,ap5011,,_1018_p_dov,,,,,,false
soep-core,ap,ap5012,,_1019_p_dov,,,,,,false
soep-core,ap,ap5013,,_1695_p_dov,,,,,,false
soep-core,ap,ap5101,,pkr1,,,,,,false
soep-core,ap,ap5102,,pkr3,,,,,,false
soep-core,ap,ap5103,,pkr2,,,,,,false
soep-core,ap,ap5201,,pbeh1,,,,,,false
