study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-core,abroad,auspan,,item_7496,,,,,,false
soep-core,abroad,erg,,item_5898,,,,,,false
soep-core,abroad,erhebj,,item_67,,,,,,false
soep-core,abroad,f0101,,item_5899,,,,,,false
soep-core,abroad,f0102,,item_5900,,,,,,false
soep-core,abroad,f0201,,item_5901,,,,,,false
soep-core,abroad,f0202,,item_5902,,,,,,false
soep-core,abroad,f0301,,item_5903,,,,,,false
soep-core,abroad,f0302,,item_5904,,,,,,false
soep-core,abroad,f0303,,item_5905,,,,,,false
soep-core,abroad,f0401,,item_5906,,,,,,false
soep-core,abroad,f0402,,item_5907,,,,,,false
soep-core,abroad,f0403,,item_5908,,,,,,false
soep-core,abroad,f0404,,item_5909,,,,,,false
soep-core,abroad,f0405,,item_5910,,,,,,false
soep-core,abroad,f0406,,item_5911,,,,,,false
soep-core,abroad,f0407,,item_5912,,,,,,false
soep-core,abroad,f0408,,item_5913,,,,,,false
soep-core,abroad,f0409,,item_5914,,,,,,false
soep-core,abroad,f0410,,item_5915,,,,,,false
soep-core,abroad,f0411,,item_5916,,,,,,false
soep-core,abroad,f0501,,item_5917,,,,,,false
soep-core,abroad,f0502,,item_5918,,,,,,false
soep-core,abroad,f0503,,item_5919,,,,,,false
soep-core,abroad,f0504,,item_5920,,,,,,false
soep-core,abroad,f0505,,item_5921,,,,,,false
soep-core,abroad,f0506,,item_5922,,,,,,false
soep-core,abroad,f0507,,item_5923,,,,,,false
soep-core,abroad,f06,,item_5924,,,,,,false
soep-core,abroad,f0701,,item_5925,,,,,,false
soep-core,abroad,f0702,,item_5926,,,,,,false
soep-core,abroad,f0703,,item_5927,,,,,,false
soep-core,abroad,f0704,,item_5928,,,,,,false
soep-core,abroad,f0705,,item_5929,,,,,,false
soep-core,abroad,f0706,,item_5930,,,,,,false
soep-core,abroad,f0707,,item_5931,,,,,,false
soep-core,abroad,f0801,,item_5932,,,,,,false
soep-core,abroad,f0802,,item_5933,,,,,,false
soep-core,abroad,f0803,,item_5934,,,,,,false
soep-core,abroad,f0804,,item_5935,,,,,,false
soep-core,abroad,f0901,,item_5936,,,,,,false
soep-core,abroad,f0902,,item_5937,,,,,,false
soep-core,abroad,f0903,,item_5938,,,,,,false
soep-core,abroad,f0904,,item_5939,,,,,,false
soep-core,abroad,f0905,,item_5940,,,,,,false
soep-core,abroad,f0906,,item_5941,,,,,,false
soep-core,abroad,f0907,,item_5942,,,,,,false
soep-core,abroad,f0908,,item_5943,,,,,,false
soep-core,abroad,f0909,,item_5944,,,,,,false
soep-core,abroad,f0910,,item_5945,,,,,,false
soep-core,abroad,f0911,,item_5946,,,,,,false
soep-core,abroad,f10,,item_5947,,,,,,false
soep-core,abroad,f11,,item_5948,,,,,,false
soep-core,abroad,f12,,item_5949,,,,,,false
soep-core,abroad,f1301,,item_5950,,,,,,false
soep-core,abroad,f1302,,item_5951,,,,,,false
soep-core,abroad,f1303,,item_5952,,,,,,false
soep-core,abroad,f1304,,item_5953,,,,,,false
soep-core,abroad,f1305,,item_5954,,,,,,false
soep-core,abroad,f14,,item_5955,,,,,,false
soep-core,abroad,f1501,,item_5956,,,,,,false
soep-core,abroad,f1502,,item_5957,,,,,,false
soep-core,abroad,f1503,,item_5958,,,,,,false
soep-core,abroad,f1504,,item_5959,,,,,,false
soep-core,abroad,f1505,,item_5960,,,,,,false
soep-core,abroad,f1506,,item_5961,,,,,,false
soep-core,abroad,f1507,,item_5962,,,,,,false
soep-core,abroad,f1508,,item_5963,,,,,,false
soep-core,abroad,f1509,,item_5964,,,,,,false
soep-core,abroad,f1510,,item_5965,,,,,,false
soep-core,abroad,f16,,item_5966,,,,,,false
soep-core,abroad,f17,,item_5967,,,,,,false
soep-core,abroad,f18,,item_5968,,,,,,false
soep-core,abroad,f19,,item_5969,,,,,,false
soep-core,abroad,f20,,item_5970,,,,,,false
soep-core,abroad,f2101,,item_5971,,,,,,false
soep-core,abroad,f2102,,item_5972,,,,,,false
soep-core,abroad,f2103,,item_5973,,,,,,false
soep-core,abroad,f22,,item_5974,,,,,,false
soep-core,abroad,f2301,,item_5975,,,,,,false
soep-core,abroad,hader,,item_5976,,,,,,false
soep-core,abroad,hhnr,,_cid,,,,,,false
soep-core,abroad,hhnrakt,,_hid,,,,,,false
soep-core,abroad,land,,item_5977,,,,,,false
soep-core,abroad,landtxt,,item_5978,,,,,,false
soep-core,abroad,lint,,item_5526,,,,,,false
soep-core,abroad,persnr,,_pid,,,,,,false
soep-core,abroad,pgeb,,item_5979,,,,,,false
soep-core,abroad,pnat,,item_5505,,,,,,false
soep-core,abroad,ruecklauf,,item_7495,,,,,,false
soep-core,abroad,sample1,,sample1,,,,,,false
soep-core,abroad,sex,,psex,,,,,,false
soep-core,abroad,zupan,,item_5523,,,,,,false
soep-core,ah,aauskper,,pnr,,,,,,false
soep-core,ah,ah02,,_2599_h_sdr,,,,,,false
soep-core,ah,ah0301,,_2600_h_sdr,,,,,,false
soep-core,ah,ah0302,,_2601_h_sdr,,,,,,false
soep-core,ah,ah0401,,_2602_h_sdr,,,,,,false
soep-core,ah,ah0402,,_2603_h_sdr,,,,,,false
soep-core,ah,ah0403,,_2604_h_sdr,,,,,,false
soep-core,ah,ah0404,,_2605_h_sdr,,,,,,false
soep-core,ah,ah0405,,_2606_h_sdr,,,,,,false
soep-core,ah,ah0406,,_2607_h_sdr,,,,,,false
soep-core,ah,ah0407,,_2608_h_sdr,,,,,,false
soep-core,ah,ah0408,,_2609_h_sdr,,,,,,false
soep-core,ah,ah0409,,_2610_h_sdr,,,,,,false
soep-core,ah,ah0410,,_2611_h_sdr,,,,,,false
soep-core,ah,ah0501,,_2612_h_sdr,,,,,,false
soep-core,ah,ah0502,,_2613_h_sdr,,,,,,false
soep-core,ah,ah0503,,_2614_h_sdr,,,,,,false
soep-core,ah,ah0504,,_2615_h_sdr,,,,,,false
soep-core,ah,ah0505,,_2616_h_sdr,,,,,,false
soep-core,ah,ah0506,,_2617_h_sdr,,,,,,false
soep-core,ah,ah0507,,_2618_h_sdr,,,,,,false
soep-core,ah,ah06,,hkind,,,,,,false
soep-core,ah,ah08,,hpfleg,,,,,,false
soep-core,ah,ah09,,hwohn09,,,,,,false
soep-core,ah,ah10,,hzus,,,,,,false
