class,id,type,value,label,description
questionnaire,soep-core-1984-pe,publication,470,SOEP 1984 – Erhebungsinstrumente 1984 (Welle 1) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1985-pe,publication,127,SOEP 1985 – Erhebungsinstrumente 1985 (Welle 2) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1986-pe,publication,2054,SOEP 1986 - Erhebungsinstrumente 1986 (Welle 3) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1987-pe,publication,2050,SOEP 1987 - Erhebungsinstrumente 1987 (Welle 4) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1988-pe,publication,2042,SOEP 1988 - Erhebungsinstrumente 1988 (Welle 5) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1989-pe,publication,2049,SOEP 1989 - Erhebungsinstrumente 1989 (Welle 6) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1990-pe,publication,2043,SOEP 1990 - Erhebungsinstrumente 1990 (Welle 7) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1991-pe,publication,611,SOEP 1991 - Erhebungsinstrumente 1991 (Welle 8) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1992-pe,publication,610,SOEP 1992 - Erhebungsinstrumente 1992 (Welle 9/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1993-pe,publication,595,SOEP 1993 - Erhebungsinstrumente 1993 (Welle 10/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1994-pe,publication,2044,SOEP 1994 - Erhebungsinstrumente 1994 (Welle 11/West und Welle 5/Ost) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1995-pe,publication,2045,SOEP 1995 - Erhebungsinstrumente 1995 (Welle 12/West und Welle 6/Ost und Zuwanderer D1) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1996-pe,publication,2046,SOEP 1996 - Erhebungsinstrumente 1996 (Welle 13/West und Welle 7/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
