class,id,type,value,label,description
questionnaire,soep-core-1997-pe,publication,2048,SOEP 1997 - Erhebungsinstrumente 1997 (Welle 14/West und Welle 8/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1998-pe,publication,7936,SOEP 1998 - Erhebungsinstrumente 1998 (Wellen 15/9/4) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1999-pe,publication,7937,SOEP 1999 - Erhebungsinstrumente 1999 (Wellen 16/10/5) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2000-pe,publication,7938,SOEP 2000 - Erhebungsinstrumente 2000 (Welle 17) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2001-pe,publication,7940,SOEP 2001 - Erhebungsinstrumente 2001 (Welle 18) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2002-pe,publication,7941,SOEP 2002 - Erhebungsinstrumente 2002 (Welle 19) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2003-pe,publication,7942,SOEP 2003 - Erhebungsinstrumente 2003 (Welle 20) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2004-pe,publication,7943,SOEP 2004 - Erhebungsinstrumente 2004 (Welle 21) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2005-pe,publication,7944,SOEP 2005 - Erhebungsinstrumente 2005 (Welle 22) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2006-pe,publication,7945,SOEP 2006 - Erhebungsinstrumente 2006 (Welle 23) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2007-pe,publication,6591,SOEP 2007 - Erhebungsinstrumente 2007 (Welle 24) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2008-pe,publication,7952,SOEP 2008 - Erhebungsinstrumente 2008 (Welle 25) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2009-pe,publication,7946,SOEP 2009 - Erhebungsinstrumente 2009 (Welle 26) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2010-pe,publication,7950,SOEP 2010 - Erhebungsinstrumente 2010 (Welle 27) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2011-pe,publication,6673,SOEP 2011 - Erhebungsinstrumente 2011 (Welle 28) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2011-pe,publication,7963,SOEP 2011 – Erhebungsinstrumente 2011 (Welle 28) des Sozio-oekonomischen Panels – Teil 2 (Aufstockung Sample J),
questionnaire,soep-core-2012-pe,publication,8174,"SOEP 2012 – Erhebungsinstrumente 2012 (Welle 29) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben",
questionnaire,soep-core-2013-pe,publication,8391,"SOEP 2013 – Erhebungsinstrumente 2013 (Welle 30) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben",
questionnaire,soep-core-2014-pe,publication,ssp235,"SOEP 2014 – Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben",
questionnaire,soep-core-1984-hh,publication,470,SOEP 1984 – Erhebungsinstrumente 1984 (Welle 1) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1985-hh,publication,127,SOEP 1985 – Erhebungsinstrumente 1985 (Welle 2) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1986-hh,publication,2054,SOEP 1986 - Erhebungsinstrumente 1986 (Welle 3) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1987-hh,publication,2050,SOEP 1987 - Erhebungsinstrumente 1987 (Welle 4) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1988-hh,publication,2042,SOEP 1988 - Erhebungsinstrumente 1988 (Welle 5) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1989-hh,publication,2049,SOEP 1989 - Erhebungsinstrumente 1989 (Welle 6) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1990-hh,publication,2043,SOEP 1990 - Erhebungsinstrumente 1990 (Welle 7) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1991-hh,publication,611,SOEP 1991 - Erhebungsinstrumente 1991 (Welle 8) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1992-hh,publication,610,SOEP 1992 - Erhebungsinstrumente 1992 (Welle 9/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1993-hh,publication,595,SOEP 1993 - Erhebungsinstrumente 1993 (Welle 10/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1994-hh,publication,2044,SOEP 1994 - Erhebungsinstrumente 1994 (Welle 11/West und Welle 5/Ost) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1995-hh,publication,2045,SOEP 1995 - Erhebungsinstrumente 1995 (Welle 12/West und Welle 6/Ost und Zuwanderer D1) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1996-hh,publication,2046,SOEP 1996 - Erhebungsinstrumente 1996 (Welle 13/West und Welle 7/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1997-hh,publication,2048,SOEP 1997 - Erhebungsinstrumente 1997 (Welle 14/West und Welle 8/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1998-hh,publication,7936,SOEP 1998 - Erhebungsinstrumente 1998 (Wellen 15/9/4) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1999-hh,publication,7937,SOEP 1999 - Erhebungsinstrumente 1999 (Wellen 16/10/5) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2000-hh,publication,7938,SOEP 2000 - Erhebungsinstrumente 2000 (Welle 17) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2001-hh,publication,7940,SOEP 2001 - Erhebungsinstrumente 2001 (Welle 18) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2002-hh,publication,7941,SOEP 2002 - Erhebungsinstrumente 2002 (Welle 19) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2003-hh,publication,7942,SOEP 2003 - Erhebungsinstrumente 2003 (Welle 20) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2004-hh,publication,7943,SOEP 2004 - Erhebungsinstrumente 2004 (Welle 21) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2005-hh,publication,7944,SOEP 2005 - Erhebungsinstrumente 2005 (Welle 22) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2006-hh,publication,7945,SOEP 2006 - Erhebungsinstrumente 2006 (Welle 23) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2007-hh,publication,6591,SOEP 2007 - Erhebungsinstrumente 2007 (Welle 24) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2008-hh,publication,7952,SOEP 2008 - Erhebungsinstrumente 2008 (Welle 25) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2009-hh,publication,7946,SOEP 2009 - Erhebungsinstrumente 2009 (Welle 26) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2010-hh,publication,7950,SOEP 2010 - Erhebungsinstrumente 2010 (Welle 27) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2011-hh,publication,6673,SOEP 2011 - Erhebungsinstrumente 2011 (Welle 28) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2012-hh,publication,8232,"SOEP 2012 – Erhebungsinstrumente 2012 (Welle 29) des Sozio-oekonomischen Panels: Haushaltsfragebogen (Erstbefragte 2012), Aufwuchs K",
questionnaire,soep-core-2013-hh,publication,8402,"SOEP 2013 – Erhebungsinstrumente 2013 (Welle 30) des Sozio-oekonomischen Panels: Haushaltsfragebogen (Erstbefragte 2013), Aufwuchs M",
questionnaire,soep-core-2014-hh,publication,ssp236,"SOEP 2014 – Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Haushaltsfragebogen, Altstichproben",
questionnaire,soep-core-1991-ll,publication,611,SOEP 1991 - Erhebungsinstrumente 1991 (Welle 8) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1992-ll,publication,610,SOEP 1992 - Erhebungsinstrumente 1992 (Welle 9/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1993-ll,publication,595,SOEP 1993 - Erhebungsinstrumente 1993 (Welle 10/West) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1994-ll,publication,2044,SOEP 1994 - Erhebungsinstrumente 1994 (Welle 11/West und Welle 5/Ost) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1995-ll,publication,2045,SOEP 1995 - Erhebungsinstrumente 1995 (Welle 12/West und Welle 6/Ost und Zuwanderer D1) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1996-ll,publication,2046,SOEP 1996 - Erhebungsinstrumente 1996 (Welle 13/West und Welle 7/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1997-ll,publication,2048,SOEP 1997 - Erhebungsinstrumente 1997 (Welle 14/West und Welle 8/Ost und Zuwanderer) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1998-ll,publication,7936,SOEP 1998 - Erhebungsinstrumente 1998 (Wellen 15/9/4) des Sozio-oekonomischen Panels,
questionnaire,soep-core-1999-ll,publication,7937,SOEP 1999 - Erhebungsinstrumente 1999 (Wellen 16/10/5) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2000-ll,publication,7938,SOEP 2000 - Erhebungsinstrumente 2000 (Welle 17) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2001-ll,publication,7940,SOEP 2001 - Erhebungsinstrumente 2001 (Welle 18) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2002-ll,publication,7941,SOEP 2002 - Erhebungsinstrumente 2002 (Welle 19) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2003-ll,publication,7942,SOEP 2003 - Erhebungsinstrumente 2003 (Welle 20) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2004-ll,publication,7943,SOEP 2004 - Erhebungsinstrumente 2004 (Welle 21) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2005-ll,publication,7944,SOEP 2005 - Erhebungsinstrumente 2005 (Welle 22) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2006-ll,publication,7945,SOEP 2006 - Erhebungsinstrumente 2006 (Welle 23) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2007-ll,publication,6591,SOEP 2007 - Erhebungsinstrumente 2007 (Welle 24) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2008-ll,publication,7952,SOEP 2008 - Erhebungsinstrumente 2008 (Welle 25) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2009-ll,publication,7946,SOEP 2009 - Erhebungsinstrumente 2009 (Welle 26) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2010-ll,publication,7950,SOEP 2010 - Erhebungsinstrumente 2010 (Welle 27) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2011-ll,publication,6673,SOEP 2011 - Erhebungsinstrumente 2011 (Welle 28) des Sozio-oekonomischen Panels,
questionnaire,soep-core-2011-ll,publication,7963,SOEP 2011 – Erhebungsinstrumente 2011 (Welle 28) des Sozio-oekonomischen Panels – Teil 2 (Aufstockung Sample J),
questionnaire,soep-core-2012-ll,publication,8215,"SOEP 2012 – Erhebungsinstrumente 2012 (Welle 29) des Sozio-oekonomischen Panels: Lebenslauffragebogen, Altstichproben",
questionnaire,soep-core-2013-ll,publication,8393,"SOEP 2013 – Erhebungsinstrumente 2013 (Welle 30) des Sozio-oekonomischen Panels: Lebenslauffragebogen, Altstichproben",
questionnaire,soep-core-2014-ll,publication,ssp237,"SOEP 2014 – Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Lebenslauffragebogen, Altstichproben",
