dataset,distribution,study,version
kpkal,v29,soep-core,v29
hh,v29,soep-core,v29
upkal,v29,soep-core,v29
tpequiv,v29,soep-core,v29
epausl,v29,soep-core,v29
bapbrutto,v29,soep-core,v29
lpkal,v29,soep-core,v29
hbrutt00,v29,soep-core,v29
bioage08b,v29,soep-core,v29
fpgen,v29,soep-core,v29
mp,v29,soep-core,v29
bp,v29,soep-core,v29
npluecke,v29,soep-core,v29
hpkal,v29,soep-core,v29
vpkal,v29,soep-core,v29
bcpbrutto,v29,soep-core,v29
akind,v29,soep-core,v29
hpluecke,v29,soep-core,v29
qpbrutto,v29,soep-core,v29
hpkalost,v29,soep-core,v29
ppfad,v29,soep-core,v29
biojob,v29,soep-core,v29
zkind,v29,soep-core,v29
hpbrutto,v29,soep-core,v29
lpluecke,v29,soep-core,v29
whgen,v29,soep-core,v29
biotwin,v29,soep-core,v29
qpgen,v29,soep-core,v29
kpequiv,v29,soep-core,v29
ph,v29,soep-core,v29
biosib,v29,soep-core,v29
tpgen,v29,soep-core,v29
bbpage17,v29,soep-core,v29
npequiv,v29,soep-core,v29
ah,v29,soep-core,v29
ypequiv,v29,soep-core,v29
cirdef,v29,soep-core,v29
ghbrutto,v29,soep-core,v29
bbp,v29,soep-core,v29
bpkal,v29,soep-core,v29
wpgen,v29,soep-core,v29
xhgen,v29,soep-core,v29
ihgen,v29,soep-core,v29
khgen,v29,soep-core,v29
gpausl,v29,soep-core,v29
cogdj,v29,soep-core,v29
bah,v29,soep-core,v29
cpluecke,v29,soep-core,v29
epluecke,v29,soep-core,v29
ppbrutto,v29,soep-core,v29
bchbrutto,v29,soep-core,v29
hpequiv,v29,soep-core,v29
bioage01,v29,soep-core,v29
dpbrutto,v29,soep-core,v29
uhgen,v29,soep-core,v29
fp,v29,soep-core,v29
fpbrutto,v29,soep-core,v29
hbrutt11,v29,soep-core,v29
opkal,v29,soep-core,v29
biomarsy,v29,soep-core,v29
ykind,v29,soep-core,v29
dhgen,v29,soep-core,v29
bcp,v29,soep-core,v29
epbrutto,v29,soep-core,v29
xkind,v29,soep-core,v29
apausl,v29,soep-core,v29
ghgen,v29,soep-core,v29
up,v29,soep-core,v29
bch,v29,soep-core,v29
vh,v29,soep-core,v29
bahgen,v29,soep-core,v29
bpequiv,v29,soep-core,v29
jpgen,v29,soep-core,v29
qh,v29,soep-core,v29
xpage17,v29,soep-core,v29
qhgen,v29,soep-core,v29
xpbrutto,v29,soep-core,v29
kpausl,v29,soep-core,v29
jpausl,v29,soep-core,v29
rhgen,v29,soep-core,v29
xhbrutto,v29,soep-core,v29
pkind,v29,soep-core,v29
rpequiv,v29,soep-core,v29
mpequiv,v29,soep-core,v29
ekind,v29,soep-core,v29
biobirth,v29,soep-core,v29
uh,v29,soep-core,v29
einkalen,v29,soep-core,v29
yp,v29,soep-core,v29
ch,v29,soep-core,v29
apgen,v29,soep-core,v29
tkind,v29,soep-core,v29
zpkal,v29,soep-core,v29
thbrutto,v29,soep-core,v29
pwealth,v29,soep-core,v29
bioage03,v29,soep-core,v29
bkind,v29,soep-core,v29
ehgen,v29,soep-core,v29
hhgen,v29,soep-core,v29
bbvp,v29,soep-core,v29
pbr_exit,v29,soep-core,v29
tpkal,v29,soep-core,v29
bcpgen,v29,soep-core,v29
phbrutto,v29,soep-core,v29
gpluecke,v29,soep-core,v29
wh,v29,soep-core,v29
ihbrutto,v29,soep-core,v29
bcpequiv,v29,soep-core,v29
dpgen,v29,soep-core,v29
hbrutt84,v29,soep-core,v29
biocouply,v29,soep-core,v29
npbrutto,v29,soep-core,v29
chbrutto,v29,soep-core,v29
xpluecke,v29,soep-core,v29
yhgen,v29,soep-core,v29
vkind,v29,soep-core,v29
zpequiv,v29,soep-core,v29
bbpequiv,v29,soep-core,v29
dkind,v29,soep-core,v29
bapage17,v29,soep-core,v29
mhbrutto,v29,soep-core,v29
ppgen,v29,soep-core,v29
trust,v29,soep-core,v29
ipluecke,v29,soep-core,v29
tpbrutto,v29,soep-core,v29
ppequiv,v29,soep-core,v29
gpkalost,v29,soep-core,v29
hbrutt02,v29,soep-core,v29
wpequiv,v29,soep-core,v29
kpgen,v29,soep-core,v29
bhbrutto,v29,soep-core,v29
xpkal,v29,soep-core,v29
bioedu,v29,soep-core,v29
bbpkal,v29,soep-core,v29
yh,v29,soep-core,v29
kidlong,v29,soep-core,v29
lpgen,v29,soep-core,v29
fpausl,v29,soep-core,v29
vp,v29,soep-core,v29
gpgen,v29,soep-core,v29
bcvp,v29,soep-core,v29
lp,v29,soep-core,v29
ppluecke,v29,soep-core,v29
hwealth,v29,soep-core,v29
skind,v29,soep-core,v29
bioimmig,v29,soep-core,v29
jkind,v29,soep-core,v29
nhbrutto,v29,soep-core,v29
dhbrutto,v29,soep-core,v29
fpequiv,v29,soep-core,v29
kpbrutto,v29,soep-core,v29
lhgen,v29,soep-core,v29
health,v29,soep-core,v29
upequiv,v29,soep-core,v29
rpgen,v29,soep-core,v29
bckind,v29,soep-core,v29
oh,v29,soep-core,v29
qhbrutto,v29,soep-core,v29
eh,v29,soep-core,v29
dpluecke,v29,soep-core,v29
gkind,v29,soep-core,v29
ih,v29,soep-core,v29
kp,v29,soep-core,v29
chgen,v29,soep-core,v29
jhbrutto,v29,soep-core,v29
ipausl,v29,soep-core,v29
vpgen,v29,soep-core,v29
bbpgen,v29,soep-core,v29
rhbrutto,v29,soep-core,v29
dh,v29,soep-core,v29
spbrutto,v29,soep-core,v29
np,v29,soep-core,v29
mihinc,v29,soep-core,v29
bap,v29,soep-core,v29
mpbrutto,v29,soep-core,v29
abroad,v29,soep-core,v29
pbiospe,v29,soep-core,v29
zpluecke,v29,soep-core,v29
cp,v29,soep-core,v29
vhgen,v29,soep-core,v29
jh,v29,soep-core,v29
xp,v29,soep-core,v29
kpluecke,v29,soep-core,v29
design,v29,soep-core,v29
hpausl,v29,soep-core,v29
hbrutt09,v29,soep-core,v29
fhgen,v29,soep-core,v29
upgen,v29,soep-core,v29
bioresid,v29,soep-core,v29
epgen,v29,soep-core,v29
mh,v29,soep-core,v29
ypluecke,v29,soep-core,v29
bioage10,v29,soep-core,v29
bh,v29,soep-core,v29
zp,v29,soep-core,v29
hbrutt12,v29,soep-core,v29
lpequiv,v29,soep-core,v29
wpluecke,v29,soep-core,v29
