conceptual_dataset,label,description
org/net,original data (net),"information from succesfull interviewed respondents, mostly based on a questionnaire"
gen,generated data,generated data and check for longitudinally consistency
track,structure or tracking files,essential files to track persons or household over time
org/gross,original data (gross),"information on gross sample, mostly from the field work"
survey,survey methodology,dataset describing the survey design or weighting scheme
bio/gen,Generated biographical information,"generated data about biographical information, mainly from the biographical questionnaire"
