study,dataset,variable,label,concept,questionnaire,question,item
soep-core,beschool,bes0117,Nervoes in neuen Situationen,sbhv17,soep-core-2014-s,1,sbhv17
soep-core,beschool,bes0118,Nett zu Juengeren,sbhv18,soep-core-2014-s,1,sbhv18
soep-core,beschool,bes0119,"Andere behaupten, dass ich luege",sbhv19,soep-core-2014-s,1,sbhv19
soep-core,beschool,bes0120,Werde gehaenselt,sbhv20,soep-core-2014-s,1,sbhv20
soep-core,beschool,bes0121,Helfe freiwillig,sbhv21,soep-core-2014-s,1,sbhv21
soep-core,beschool,bes0122,"Denke nach, bevor ich handle",sbhv22,soep-core-2014-s,1,sbhv22
soep-core,beschool,bes0123,"Nehme Dinge, die mir nicht gehoeren",sbhv23,soep-core-2014-s,1,sbhv23
soep-core,beschool,bes0124,Besser mit Erwachsenen,sbhv24,soep-core-2014-s,1,sbhv24
soep-core,beschool,bes0125,Habe viele Aengste,sbhv25,soep-core-2014-s,1,sbhv25
soep-core,beschool,bes0126,Lange genug konzentrieren,sbhv26,soep-core-2014-s,1,sbhv26
soep-core,beschool,bes02,Wievielte Klasse,skl,soep-core-2014-s,2,skl
soep-core,beschool,bes03,Wie viele Schueler,sklanz,soep-core-2014-s,3,sklanz
soep-core,beschool,bes0401,Wie viele Schueler nicht deutsch,sklaus1,soep-core-2014-s,4,sklaus1
soep-core,beschool,bes0402,Schueler nicht deutsch,sklaus2,soep-core-2014-s,4,
soep-core,beschool,bes0501,Lehrer ruft dich seltener auf,slehr01,soep-core-2014-s,5,slehr01
soep-core,beschool,bes0502,Lehrer benotet dich strenger,slehr02,soep-core-2014-s,5,slehr02
soep-core,beschool,bes0503,Lehrer ermahnt dich oefter,slehr03,soep-core-2014-s,5,slehr03
soep-core,beschool,bes0504,Lehrer halten dich fuer weniger klug,slehr04,soep-core-2014-s,5,slehr04
soep-core,beschool,bes0601,Note Deutsch,snot1,soep-core-2014-s,6,snot1
soep-core,beschool,bes0602,Note Mathematik,snot2,soep-core-2014-s,6,snot2
soep-core,beschool,bes0603,Note erste Fremdsprache,snot4,soep-core-2014-s,6,snot4
soep-core,beschool,bes0604,Keine Schulnote,snotno,soep-core-2014-s,6,snotno
soep-core,beschool,bes07,Welchen Schulabschluss erreichen,sschabe,soep-core-2014-s,7,
soep-core,beschool,bes08,Wie wichtig dieser Schulabschluss,sschabw,soep-core-2014-s,8,
soep-core,beschool,bes09,Welchen Schulabschluss tatsaechlich erreichen,sschabt,soep-core-2014-s,9,
soep-core,beschool,bes10,Interesse der Eltern fuer Schule,selt1,soep-core-2014-s,10,
soep-core,beschool,bes1101,Beginn Montag (Stunde),sstpa01,soep-core-2014-s,11,sstpa01
soep-core,beschool,bes1102,Beginn Montag (Minute),sstpa02,soep-core-2014-s,11,sstpa02
soep-core,beschool,bes1103,Beginn Dienstag (Stunde),sstpa03,soep-core-2014-s,11,sstpa03
soep-core,beschool,bes1104,Beginn Dienstag (Minute),sstpa04,soep-core-2014-s,11,sstpa04
soep-core,beschool,bes1105,Beginn Mittwoch (Stunde),sstpa05,soep-core-2014-s,11,sstpa05
soep-core,beschool,bes1106,Beginn Mittwoch (Minute),sstpa06,soep-core-2014-s,11,sstpa06
soep-core,beschool,bes1107,Beginn Donnerstag (Stunde),sstpa07,soep-core-2014-s,11,sstpa07
soep-core,beschool,bes1108,Beginn Donnerstag (Minute),sstpa08,soep-core-2014-s,11,sstpa08
soep-core,beschool,bes1109,Beginn Freitag (Stunde),sstpa09,soep-core-2014-s,11,sstpa09
soep-core,beschool,bes1110,Beginn Freitag (Minute),sstpa10,soep-core-2014-s,11,sstpa10
soep-core,beschool,bes1111,Beginn Samstag (Stunde),sstpa11,soep-core-2014-s,11,sstpa11
soep-core,beschool,bes1112,Beginn Samstag (Minute),sstpa12,soep-core-2014-s,11,sstpa12
soep-core,beschool,bes1113,Ende Montag (Stunde),sstpb01,soep-core-2014-s,11,sstpb01
soep-core,beschool,bes1114,Ende Montag (Minute),sstpb02,soep-core-2014-s,11,sstpb02
soep-core,beschool,bes1115,Ende Dienstag (Stunde),sstpb03,soep-core-2014-s,11,sstpb03
soep-core,beschool,bes1116,Ende Dienstag (Minute),sstpb04,soep-core-2014-s,11,sstpb04
soep-core,beschool,bes1117,Ende Mittwoch (Stunde),sstpb05,soep-core-2014-s,11,sstpb05
soep-core,beschool,bes1118,Ende Mittwoch (Minute),sstpb06,soep-core-2014-s,11,sstpb06
soep-core,beschool,bes1119,Ende Donnerstag (Stunde),sstpb07,soep-core-2014-s,11,sstpb07
soep-core,beschool,bes1120,Ende Donnerstag (Minute),sstpb08,soep-core-2014-s,11,sstpb08
soep-core,beschool,bes1121,Ende Freitag (Stunde),sstpb09,soep-core-2014-s,11,sstpb09
soep-core,beschool,bes1122,Ende Freitag (Minute),sstpb10,soep-core-2014-s,11,sstpb10
soep-core,beschool,bes1123,Ende Samstag (Stunde),sstpb11,soep-core-2014-s,11,sstpb11
soep-core,beschool,bes1124,Ende Samstag (Minute),sstpb12,soep-core-2014-s,11,sstpb12
soep-core,beschool,bes1125,Wie oft Schule am Samstag,sstpanz,soep-core-2014-s,11,sstpanz
soep-core,beschool,bes1201,Hort Werktag,sstd11,soep-core-2014-s,12,sstd11
soep-core,beschool,bes1202,"Hort Samstag, Sonntag",sstd11s,soep-core-2014-s,12,sstd11s
soep-core,beschool,bes1203,Jugendzentrum Werktag,sstd13,soep-core-2014-s,12,sstd13
soep-core,beschool,bes1204,"Jugendzentrum Samstag, Sonntag",sstd13s,soep-core-2014-s,12,sstd13s
soep-core,beschool,bes1205,Sportverein Werktag,sstd14,soep-core-2014-s,12,sstd14
soep-core,beschool,bes1206,"Sportverein Samstag, Sonntag",sstd14s,soep-core-2014-s,12,sstd14s
soep-core,beschool,bes13,Wo Hausaufgaben,shaus1,soep-core-2014-s,13,
soep-core,beschool,bes14,Wie lange Hausaufgaben,shaus2,soep-core-2014-s,14,
soep-core,beschool,bes1501,Hilfe bei Hausaufgaben: Mutter,shaus3,soep-core-2014-s,15,shaus3
soep-core,beschool,bes1502,Hilfe bei Hausaufgaben: Vater,shaus4,soep-core-2014-s,15,shaus4
soep-core,beschool,bes1503,Hilfe bei Hausaufgaben: Grosseltern,shaus5,soep-core-2014-s,15,shaus5
soep-core,beschool,bes1504,Hilfe bei Hausaufgaben: Geschwister,shaus6,soep-core-2014-s,15,shaus6
soep-core,beschool,bes1505,Hilfe bei Hausaufgaben: Freunde,shaus7,soep-core-2014-s,15,shaus7
soep-core,beschool,bes1506,Hilfe bei Hausaufgaben: Nachhilfelehrer/-in,shaus8,soep-core-2014-s,15,shaus8
soep-core,beschool,bes1507,Hilfe bei Hausaufgaben: Hausaufgabenbetreuung,shaus9,soep-core-2014-s,15,shaus9
soep-core,beschool,bes1601,Fernsehen,sfz01,soep-core-2014-s,16,sfz01
soep-core,beschool,bes1602,Computerspiele,sfz02,soep-core-2014-s,16,sfz02
soep-core,beschool,bes1603,Soziale Netzwerke,sfz21,soep-core-2014-s,16,sfz21
soep-core,beschool,bes1604,Sonstiges Surfen im Internet,sfz14,soep-core-2014-s,16,sfz14
soep-core,beschool,bes1605,Musik hoeren,sfz03,soep-core-2014-s,16,sfz03
soep-core,beschool,bes1606,Musik machen,sfz04,soep-core-2014-s,16,sfz04
soep-core,beschool,bes1607,Sport treiben,sfz05,soep-core-2014-s,16,sfz05
soep-core,beschool,bes1608,Unternehmung mit Familie,sfz17,soep-core-2014-s,16,sfz17
soep-core,beschool,bes1609,"Tanz, Theater",sfz06,soep-core-2014-s,16,sfz06
soep-core,beschool,bes1610,Technisches Werken,sfz07,soep-core-2014-s,16,sfz07
soep-core,beschool,bes1611,Malen und Basteln,sfz18,soep-core-2014-s,16,sfz18
soep-core,beschool,bes1612,Lesen,sfz08,soep-core-2014-s,16,sfz08
soep-core,beschool,bes1613,Nichts tun,sfz10,soep-core-2014-s,16,sfz10
soep-core,beschool,bes1614,Mit Freunden zusammen,sfz19,soep-core-2014-s,16,sfz19
soep-core,beschool,bes1615,Telefonieren,sfz22,soep-core-2014-s,16,sfz22
soep-core,beschool,bes1616,SMS austauschen,sfz23,soep-core-2014-s,16,sfz23
soep-core,beschool,bes1617,"Kirchgang, religioese Veranstaltungen",sfz16,soep-core-2014-s,16,sfz16
soep-core,beschool,bes1618,Jugendgruppe,sfz20,soep-core-2014-s,16,sfz20
soep-core,beschool,bes1619,Um Haustier/Tiere kuemmern,sfz24,soep-core-2014-s,16,sfz24
soep-core,beschool,bes17,Wie viele Freunde,sbez06,soep-core-2014-s,17,sbez06
soep-core,beschool,bes1801,Schulabschluss 1. Freund/-in,sfrs1,soep-core-2014-s,18,sfrs1
soep-core,beschool,bes1802,Schulabschluss 2. Freund/-in,sfrs2,soep-core-2014-s,18,sfrs2
soep-core,beschool,bes1803,Schulabschluss 3. Freund/-in,sfrs3,soep-core-2014-s,18,sfrs3
soep-core,beschool,bes1804,Wo kennengelernt 1. Freund/-in,sfrk1,soep-core-2014-s,18,sfrk1
soep-core,beschool,bes1805,Wo kennengelernt 2. Freund/-in,sfrk2,soep-core-2014-s,18,sfrk2
soep-core,beschool,bes1806,Wo kennengelernt 3. Freund/-in,sfrk3,soep-core-2014-s,18,sfrk3
soep-core,beschool,bes19,Einmischung Eltern,sfrelt,soep-core-2014-s,19,
soep-core,beschool,bes20,Aeltere Geschwister,sbs,soep-core-2014-s,20,
soep-core,beschool,bes2101,Schulabschluss 1.Bruder/Schwester,sbss1,soep-core-2014-s,21,sbss1
soep-core,beschool,bes2102,Schulabschluss 2.Bruder/Schwester,sbss2,soep-core-2014-s,21,sbss2
soep-core,beschool,bes2103,Schulabschluss 3.Bruder/Schwester,sbss3,soep-core-2014-s,21,sbss3
soep-core,beschool,bes2201,Fruehstueck Werktag,sessfw,soep-core-2014-s,22,sessfw
soep-core,beschool,bes2202,Mittagessen Werktag,sessmw,soep-core-2014-s,22,sessmw
soep-core,beschool,bes2203,Abendessen Werktag,sessaw,soep-core-2014-s,22,sessaw
soep-core,beschool,bes2204,Fruehstueck Wochenende,sessfwe,soep-core-2014-s,22,sessfwe
soep-core,beschool,bes2205,Mittagessen Wochenende,sessmwe,soep-core-2014-s,22,sessmwe
soep-core,beschool,bes2206,Abendessen Wochenende,sessawe,soep-core-2014-s,22,sessawe
soep-core,beschool,bes23,Groesse,sgr,soep-core-2014-s,23,sgr
soep-core,beschool,bes24,Gewicht,skilo,soep-core-2014-s,24,skilo
soep-core,beschool,bes2501,Freunde (bei Sorgen),svsor1,soep-core-2014-s,25,svsor1
soep-core,beschool,bes2502,Geschwister (bei Sorgen),svsor2,soep-core-2014-s,25,svsor2
soep-core,beschool,bes2503,Mutter (bei Sorgen),svsor3,soep-core-2014-s,25,svsor3
soep-core,beschool,bes2504,Vater (bei Sorgen),svsor4,soep-core-2014-s,25,svsor4
soep-core,beschool,bes2505,Grosseltern (bei Sorgen),svsor5,soep-core-2014-s,25,svsor5
soep-core,beschool,bes2506,Freunde (bestaerken dich),svwich1,soep-core-2014-s,25,svwich1
soep-core,beschool,bes2507,Geschwister (bestaerken dich),svwich2,soep-core-2014-s,25,svwich2
soep-core,beschool,bes2508,Mutter (bestaerkt dich),svwich3,soep-core-2014-s,25,svwich3
soep-core,beschool,bes2509,Vater (bestaerkt dich),svwich4,soep-core-2014-s,25,svwich4
soep-core,beschool,bes2510,Grosseltern (bestaerken dich),svwich5,soep-core-2014-s,25,svwich5
soep-core,beschool,bes2511,Freunde (kommandieren dich),svkom1,soep-core-2014-s,25,svkom1
soep-core,beschool,bes2512,Geschwister (kommandieren dich),svkom2,soep-core-2014-s,25,svkom2
soep-core,beschool,bes2513,Mutter (kommandiert dich),svkom3,soep-core-2014-s,25,svkom3
soep-core,beschool,bes2514,Vater (kommandiert dich),svkom4,soep-core-2014-s,25,svkom4
soep-core,beschool,bes2515,Grosseltern (kommandieren dich),svkom5,soep-core-2014-s,25,svkom5
soep-core,beschool,bes2516,Freunde (sei gut in Schule),svlob1,soep-core-2014-s,25,svlob1
soep-core,beschool,bes2517,Geschwister (sei gut in Schule),svlob2,soep-core-2014-s,25,svlob2
soep-core,beschool,bes2518,Mutter (sei gut in Schule),svlob3,soep-core-2014-s,25,svlob3
soep-core,beschool,bes2519,Vater (sei gut in Schule),svlob4,soep-core-2014-s,25,svlob4
soep-core,beschool,bes2520,Grosseltern (sei gut in Schule),svlob5,soep-core-2014-s,25,svlob5
soep-core,beschool,bes2521,Freunde (Streit),sstr6,soep-core-2014-s,25,sstr6
soep-core,beschool,bes2522,Geschwister (Streit),sstr3,soep-core-2014-s,25,sstr3
soep-core,beschool,bes2523,Mutter (Streit),sstr2,soep-core-2014-s,25,sstr2
soep-core,beschool,bes2524,Vater (Streit),sstr1,soep-core-2014-s,25,sstr1
soep-core,beschool,bes2525,Grosseltern (Streit),sstr7,soep-core-2014-s,25,sstr7
soep-core,beschool,bes2601,Arbeite gruendlich,sego01,soep-core-2014-s,26,sego01
soep-core,beschool,bes2602,"Bin kommunikativ, gespraechig",sego02,soep-core-2014-s,26,sego02
soep-core,beschool,bes2603,Bin manchmal grob zu anderen,sego03,soep-core-2014-s,26,sego03
soep-core,beschool,bes2604,"Bin originell, neue Ideen",sego04,soep-core-2014-s,26,sego04
soep-core,beschool,bes2605,Oft Sorgen,sego05,soep-core-2014-s,26,sego05
soep-core,beschool,bes2606,Kann verzeihen,sego06,soep-core-2014-s,26,sego06
soep-core,beschool,bes2607,Bin eher faul,sego07,soep-core-2014-s,26,sego07
soep-core,beschool,bes2608,"Aus mir herausgehen, gesellig",sego08,soep-core-2014-s,26,sego08
soep-core,beschool,bes2609,Schaetze kuenstlerische Erfahrungen,sego09,soep-core-2014-s,26,sego09
soep-core,beschool,bes2610,Werde leicht nervoes,sego10,soep-core-2014-s,26,sego10
soep-core,beschool,bes2611,Erledige Aufgaben wirksam u. effizient,sego11,soep-core-2014-s,26,sego11
soep-core,beschool,bes2612,Bin Zurueckhaltend,sego12,soep-core-2014-s,26,sego12
soep-core,beschool,bes2613,Bin ruecksichtsvoll und freundlich im Umgang,sego13,soep-core-2014-s,26,sego13
soep-core,beschool,bes2614,Habe lebhafte Phantasie u. Vorstellungen,sego14,soep-core-2014-s,26,sego14
soep-core,beschool,bes2615,"Bin entspannt, kann mit Stress gut umgehen",sego15,soep-core-2014-s,26,sego15
soep-core,beschool,bes2616,Bin wissbegierig,sego16,soep-core-2014-s,26,sego16
soep-core,beschool,bes2617,Habe positive Einstellung zu mir,sego17,soep-core-2014-s,26,sego17
soep-core,beschool,bes2618,Kann verzichten um zu sparen,sego18,soep-core-2014-s,26,sego18
soep-core,beschool,bes2619,habe heute Spass,sego19,soep-core-2014-s,26,sego19
soep-core,beschool,bes27,Risikobereitschaft,srisk,soep-core-2014-s,27,
soep-core,beschool,bes2801,eigener Schreibtisch,szh1,soep-core-2014-s,28,szh1
soep-core,beschool,bes2802,eigenes Zimmer,szh2,soep-core-2014-s,28,szh2
soep-core,beschool,bes2803,eigene Buecher,szh3,soep-core-2014-s,28,szh3
soep-core,beschool,bes2901,Lern-Software,szh4,soep-core-2014-s,29,szh4
soep-core,beschool,bes2902,Hilfreiche Buecher,szh5,soep-core-2014-s,29,szh5
soep-core,beschool,bes2903,Klassische Literatur,szh6,soep-core-2014-s,29,szh6
soep-core,beschool,bes2904,Musikinstrumente,szh7,soep-core-2014-s,29,szh7
soep-core,beschool,bes2905,Kunstwerke,szh8,soep-core-2014-s,29,szh8
soep-core,beschool,bes3001,Tablet,szhg1,soep-core-2014-s,30,szhg1
soep-core,beschool,bes3002,Nutzung Tablet,szhg1a,soep-core-2014-s,30,szhg1a
soep-core,beschool,bes3003,Computer,szhg2,soep-core-2014-s,30,szhg2
soep-core,beschool,bes3004,Nutzung Computer,szhg2a,soep-core-2014-s,30,szhg2a
soep-core,beschool,bes3005,(Spiele-)Konsole,szhg3,soep-core-2014-s,30,szhg3
soep-core,beschool,bes3006,Nutzung (Spiele-)Konsole,szhg3a,soep-core-2014-s,30,szhg3a
soep-core,beschool,bes3007,Smartphone,szhg4,soep-core-2014-s,30,szhg4
soep-core,beschool,bes3008,Nutzung Smartphone,szhg4a,soep-core-2014-s,30,szhg4a
soep-core,beschool,bes3009,Anderes Handy,szhg5,soep-core-2014-s,30,szhg5
soep-core,beschool,bes3010,Nutzung anderes Handy,szhg5a,soep-core-2014-s,30,szhg5a
soep-core,beschool,bes31,Sprache,sdtsch1,soep-core-2014-s,31,
soep-core,beschool,bes32,Zufriedenheit,szule1,soep-core-2014-s,32,szule1
soep-core,beschool,bedatt,Interviewtag,datt,soep-core-2014-s,A,datt
soep-core,beschool,bedatm,Interviewmonat,datm,soep-core-2014-s,A,datm
soep-core,beschool,bedatst,Interview beendet Uhrzeit (Stunde),datst,soep-core-2014-s,A,datst
soep-core,beschool,bedatmi,Interview beendet Uhrzeit (Minuten),datmi,soep-core-2014-s,A,datmi
soep-core,beschool,beform,Befragungsform,form,soep-core-2014-s,B,
soep-core,beschool,bedauer1,Interviewdauer muendlich,dauer1,soep-core-2014-s,C,dauer1
soep-core,beschool,bedauer2,Interviewdauer Selbstausfueller,dauer2,soep-core-2014-s,C,dauer2
soep-core,beschool,beanw,Weitere Person anwesend,anw,soep-core-2014-s,D,
soep-core,beschool,intid,Interviewer ID,,,,
