study,dataset,variable,label,concept,questionnaire,question,item
soep-core,beschool,hhnr,Ursprungshaushaltsnummer,,,,
soep-core,beschool,persnr,Unveraenderliche Personennr.,,,,
soep-core,beschool,welle,Erhebungsjahr,,,,
soep-core,beschool,sample1,Stichprobenkennzeichen,,,,
soep-core,beschool,hhnrakt,Haushaltsnummer,hnr,soep-core-2014-s,0,hnr
soep-core,beschool,bepnr,Lfd. Personennummer,pnr,soep-core-2014-s,0,pnr
soep-core,beschool,begebj,Geburtsjahr,sgebj,soep-core-2014-s,0,sgebj
soep-core,beschool,begebm,Geburtsmonat,sgebm,soep-core-2014-s,0,sgebm
soep-core,beschool,bestest,Testfrage Skala verstanden,stest,soep-core-2014-s,0,stest
soep-core,beschool,bes0101,Nett zu anderen Menschen,sbhv01,soep-core-2014-s,1,sbhv01
soep-core,beschool,bes0102,Oft unruhig,sbhv02,soep-core-2014-s,1,sbhv02
soep-core,beschool,bes0103,Haeufig Schmerzen,sbhv03,soep-core-2014-s,1,sbhv03
soep-core,beschool,bes0104,Teile gerne,sbhv04,soep-core-2014-s,1,sbhv04
soep-core,beschool,bes0105,Werde leicht wuetend,sbhv05,soep-core-2014-s,1,sbhv05
soep-core,beschool,bes0106,Meistens alleine,sbhv06,soep-core-2014-s,1,sbhv06
soep-core,beschool,bes0107,"Tue, was man mir sagt",sbhv07,soep-core-2014-s,1,sbhv07
soep-core,beschool,bes0108,Mache mir haeufig Sorgen,sbhv08,soep-core-2014-s,1,sbhv08
soep-core,beschool,bes0109,Bin hilfsbereit,sbhv09,soep-core-2014-s,1,sbhv09
soep-core,beschool,bes0110,Dauernd in Bewegung,sbhv10,soep-core-2014-s,1,sbhv10
soep-core,beschool,bes0111,Gute Freunde,sbhv11,soep-core-2014-s,1,sbhv11
soep-core,beschool,bes0112,Schlage mich haeufig,sbhv12,soep-core-2014-s,1,sbhv12
soep-core,beschool,bes0113,Kann andere zwingen,sbhv13,soep-core-2014-s,1,sbhv13
soep-core,beschool,bes0114,Oft ungluecklich,sbhv14,soep-core-2014-s,1,sbhv14
soep-core,beschool,bes0115,Im Allgemeinen beliebt,sbhv15,soep-core-2014-s,1,sbhv15
soep-core,beschool,bes0116,Leicht ablenkbar,sbhv16,soep-core-2014-s,1,sbhv16
