study,questionnaire,answer_list,value,label_de,label,,,,,,,,
soep-core,soep-core-2014-e2,q3,1,Habe nur in den ersten vier Wochen gestillt ,Breastfed only the first four weeks.,,,,,,,,bin
soep-core,soep-core-2014-e2,q3,2,"Nein, habe nicht gestillt ","No, did not breastfeed",,,,,,,,
soep-core,soep-core-2014-e2,q4,1,Trifft voll zu,Agree completely,,,,,,,,
soep-core,soep-core-2014-e2,q4,2,Trifft eher zu,Agree  ,,,,,,,,
soep-core,soep-core-2014-e2,q4,3,Trifft eher nicht zu,Disagree,,,,,,,,
soep-core,soep-core-2014-e2,q4,4,Trifft gar nicht zu,Disagree completely,,,,,,,,
soep-core,soep-core-2014-e2,q5,1,Ja,Yes,,,,,,,,
soep-core,soep-core-2014-e2,q5,2,Nein,No,,,,,,,,
soep-core,soep-core-2014-e2,q9,1,Täglich,Daily,,,,,,,,
soep-core,soep-core-2014-e2,q9,2,Mehrmals die Woche,Severel times a week,,,,,,,,
soep-core,soep-core-2014-e2,q9,3,Mindestens einmal die Woche,At least once a week,,,,,,,,
soep-core,soep-core-2014-e2,q9,4,Gar nicht,Not at all,,,,,,,,
soep-core,soep-core-2014-e2,q10,1,Ja,Yes,,,,,,,,
soep-core,soep-core-2014-e2,q10,2,"Nur selten, ausnahmsweise ","Rarely, as an exception",,,,,,,,
soep-core,soep-core-2014-e2,q10,3,"Nein, grundsätzlich nicht ","No, never",,,,,,,,
soep-core,soep-core-2014-e2,q11a,1,ist eher schüchtern,... shy,,,,,,,,
soep-core,soep-core-2014-e2,q11a,2,2,2,,,,,,,,
soep-core,soep-core-2014-e2,q11a,3,3,3,,,,,,,,
soep-core,soep-core-2014-e2,q11a,4,4,4,,,,,,,,
soep-core,soep-core-2014-e2,q11a,5,5,5,,,,,,,,
soep-core,soep-core-2014-e2,q11a,6,6,6,,,,,,,,
soep-core,soep-core-2014-e2,q11a,7,7,7,,,,,,,,
soep-core,soep-core-2014-e2,q11a,8,8,8,,,,,,,,
soep-core,soep-core-2014-e2,q11a,9,9,9,,,,,,,,
soep-core,soep-core-2014-e2,q11a,10,10,10,,,,,,,,
soep-core,soep-core-2014-e2,q11a,11,ist eher kontaktfreudig,... outgoing,,,,,,,,
soep-core,soep-core-2014-e2,q11b,1,ist eher konzentriert,... focused, ,,,,,,,
soep-core,soep-core-2014-e2,q11b,2,2,2,,,,,,,,
soep-core,soep-core-2014-e2,q11b,3,3,3,,,,,,,,
soep-core,soep-core-2014-e2,q11b,4,4,4,,,,,,,,
soep-core,soep-core-2014-e2,q11b,5,5,5,,,,,,,,
soep-core,soep-core-2014-e2,q11b,6,6,6,,,,,,,,
soep-core,soep-core-2014-e2,q11b,7,7,7,,,,,,,,
soep-core,soep-core-2014-e2,q11b,8,8,8,,,,,,,,
soep-core,soep-core-2014-e2,q11b,9,9,9,,,,,,,,
soep-core,soep-core-2014-e2,q11b,10,10,10,,,,,,,,
soep-core,soep-core-2014-e2,q11b,11,ist eher leicht ablenkbar,... easily distracted,,,,,,,,
soep-core,soep-core-2014-e2,q11c,1,ist eher trotzig,... disobedient,,,,,,,,
soep-core,soep-core-2014-e2,q11c,2,2,2,,,,,,,,
soep-core,soep-core-2014-e2,q11c,3,3,3,,,,,,,,
soep-core,soep-core-2014-e2,q11c,4,4,4,,,,,,,,
soep-core,soep-core-2014-e2,q11c,5,5,5,,,,,,,,
soep-core,soep-core-2014-e2,q11c,6,6,6,,,,,,,,
soep-core,soep-core-2014-e2,q11c,7,7,7,,,,,,,,
soep-core,soep-core-2014-e2,q11c,8,8,8,,,,,,,,
soep-core,soep-core-2014-e2,q11c,9,9,9,,,,,,,,
soep-core,soep-core-2014-e2,q11c,10,10,10,,,,,,,,
soep-core,soep-core-2014-e2,q11c,11,ist eher folgsam,... obedient,,,,,,,,
soep-core,soep-core-2014-e2,q11d,1,begreift eher schnell,...quick at learning new things,,,,,,,,
soep-core,soep-core-2014-e2,q11d,2,2,2,,,,,,,,
soep-core,soep-core-2014-e2,q11d,3,3,3,,,,,,,,
soep-core,soep-core-2014-e2,q11d,4,4,4,,,,,,,,
soep-core,soep-core-2014-e2,q11d,5,5,5,,,,,,,,
soep-core,soep-core-2014-e2,q11d,6,6,6,,,,,,,,
soep-core,soep-core-2014-e2,q11d,7,7,7,,,,,,,,
soep-core,soep-core-2014-e2,q11d,8,8,8,,,,,,,,
soep-core,soep-core-2014-e2,q11d,9,9,9,,,,,,,,
soep-core,soep-core-2014-e2,q11d,10,10,10,,,,,,,,
soep-core,soep-core-2014-e2,q11d,11,braucht mehr Zeit,"
...needs more time",,,,,,,,
soep-core,soep-core-2014-e2,q12,1,Ja,Yes,,,,,,,,
soep-core,soep-core-2014-e2,q12,2,Teilweise,Partly,,,,,,,,
soep-core,soep-core-2014-e2,q12,3,Nein,No,,,,,,,,
soep-core,soep-core-2014-e2,q13,1,Nur in Deutsch,German only,,,,,,,,
soep-core,soep-core-2014-e2,q13,2,Auch in einer anderen Sprache ,Another language as well,,,,,,,,
soep-core,soep-core-2014-e2,q13,3,Nur in der anderen Sprache,Only another language ,,,,,,,,
