study,instrument,question,item,dataset,variable,concept
soep-core,soep-core-2010-pe,82,pvek021,P_10_A-H_g,pvek021,pvek021
soep-core,soep-core-2010-pe,82,pvek022,P_10_A-H_g,pvek022,pvek022
soep-core,soep-core-2010-pe,82,pvek03,P_10_A-H_g,pvek03,pvek03
soep-core,soep-core-2010-pe,82,pvek031,P_10_A-H_g,pvek031,pvek031
soep-core,soep-core-2010-pe,82,pvek032,P_10_A-H_g,pvek032,pvek032
soep-core,soep-core-2010-pe,82,pvek04,P_10_A-H_g,pvek04,pvek04
soep-core,soep-core-2010-pe,82,pvek041,P_10_A-H_g,pvek041,pvek041
soep-core,soep-core-2010-pe,82,pvek05,P_10_A-H_g,pvek05,pvek05
soep-core,soep-core-2010-pe,82,pvek051,P_10_A-H_g,pvek051,pvek051
soep-core,soep-core-2010-pe,82,pvek06,P_10_A-H_g,pvek06,pvek06
soep-core,soep-core-2010-pe,82,pvek061,P_10_A-H_g,pvek061,pvek061
soep-core,soep-core-2010-pe,82,pvek062,P_10_A-H_g,pvek062,pvek062
soep-core,soep-core-2010-pe,82,pvek07,P_10_A-H_g,pvek07,pvek07
soep-core,soep-core-2010-pe,82,pvek071,P_10_A-H_g,pvek071,pvek071
soep-core,soep-core-2010-pe,82,pvek08,P_10_A-H_g,pvek08,pvek08
soep-core,soep-core-2010-pe,82,pvek081,P_10_A-H_g,pvek081,pvek081
soep-core,soep-core-2010-pe,82,pvek082,P_10_A-H_g,pvek082,pvek082
soep-core,soep-core-2010-pe,82,pvek09,P_10_A-H_g,pvek09,pvek09
soep-core,soep-core-2010-pe,82,pvek091,P_10_A-H_g,pvek091,pvek091
soep-core,soep-core-2010-pe,82,pvek092,P_10_A-H_g,pvek092,pvek092
soep-core,soep-core-2010-pe,82,pvek10,P_10_A-H_g,pvek10,pvek10
soep-core,soep-core-2010-pe,82,pvek101,P_10_A-H_g,pvek101,pvek101
soep-core,soep-core-2010-pe,82,pvek102,P_10_A-H_g,pvek102,pvek102
soep-core,soep-core-2010-pe,82,pvek11,P_10_A-H_g,pvek11,pvek11
soep-core,soep-core-2010-pe,82,pvek111,P_10_A-H_g,pvek111,pvek111
soep-core,soep-core-2010-pe,82,pvek112,P_10_A-H_g,pvek112,pvek112
soep-core,soep-core-2010-pe,82,pvek13,P_10_A-H_g,pvek13,pvek13
soep-core,soep-core-2010-pe,82,pvek131,P_10_A-H_g,pvek131,pvek131
soep-core,soep-core-2010-pe,82,pvek132,P_10_A-H_g,pvek132,pvek132
soep-core,soep-core-2010-pe,82,pvek181,P_10_A-H_g,pvek181,pvek181
soep-core,soep-core-2010-pe,82,pvek182,P_10_A-H_g,pvek182,pvek182
soep-core,soep-core-2010-pe,82,pvek19,P_10_A-H_g,pvek19,pvek19
soep-core,soep-core-2010-pe,82,pvek191,P_10_A-H_g,pvek191,pvek191
soep-core,soep-core-2010-pe,82,pvek192,P_10_A-H_g,pvek192,pvek192
soep-core,soep-core-2010-pe,82,pvekno,P_10_A-H_g,pvekno,pvekno
soep-core,soep-core-2010-pe,83,pzus01,P_10_A-H_g,pzus01,pzus01
soep-core,soep-core-2010-pe,83,pzus011,P_10_A-H_g,pzus011,pzus011
soep-core,soep-core-2010-pe,83,pzus02,P_10_A-H_g,pzus02,pzus02
soep-core,soep-core-2010-pe,83,pzus021,P_10_A-H_g,pzus021,pzus021
soep-core,soep-core-2010-pe,83,pzus03,P_10_A-H_g,pzus03,pzus03
soep-core,soep-core-2010-pe,83,pzus031,P_10_A-H_g,pzus031,pzus031
soep-core,soep-core-2010-pe,83,pzus04,P_10_A-H_g,pzus04,pzus04
soep-core,soep-core-2010-pe,83,pzus041,P_10_A-H_g,pzus041,pzus041
soep-core,soep-core-2010-pe,83,pzus05,P_10_A-H_g,pzus05,pzus05
soep-core,soep-core-2010-pe,83,pzus051,P_10_A-H_g,pzus051,pzus051
soep-core,soep-core-2010-pe,83,pzus06,P_10_A-H_g,pzus06,pzus06
soep-core,soep-core-2010-pe,83,pzus061,P_10_A-H_g,pzus061,pzus061
soep-core,soep-core-2010-pe,83,pzus07,P_10_A-H_g,pzus07,pzus07
soep-core,soep-core-2010-pe,84,pzus12,P_10_A-H_g,pzus12,pzus12
soep-core,soep-core-2010-pe,85,pzus081,P_10_A-H_g,pzus081,pzus081
soep-core,soep-core-2010-pe,86,par1,P_10_A-H_g,par1,par1
soep-core,soep-core-2010-pe,86,par2,P_10_A-H_g,par2,par2
soep-core,soep-core-2010-pe,86,par3,P_10_A-H_g,par3,par3
soep-core,soep-core-2010-pe,86,par4,P_10_A-H_g,par4,par4
soep-core,soep-core-2010-pe,86,par5,P_10_A-H_g,par5,par5
soep-core,soep-core-2010-pe,86,par6,P_10_A-H_g,par6,par6
soep-core,soep-core-2010-pe,86,par7,P_10_A-H_g,par7,par7
soep-core,soep-core-2010-pe,86,par8,P_10_A-H_g,par8,par8
soep-core,soep-core-2010-pe,86,parso,P_10_A-H_g,parso,parso
soep-core,soep-core-2010-pe,86,pwr1,P_10_A-H_g,pwr1,pwr1
soep-core,soep-core-2010-pe,86,pwr2,P_10_A-H_g,pwr2,pwr2
soep-core,soep-core-2010-pe,86,pwr3,P_10_A-H_g,pwr3,pwr3
soep-core,soep-core-2010-pe,86,pwr4,P_10_A-H_g,pwr4,pwr4
soep-core,soep-core-2010-pe,86,pwr5,P_10_A-H_g,pwr5,pwr5
soep-core,soep-core-2010-pe,86,pwr6,P_10_A-H_g,pwr6,pwr6
soep-core,soep-core-2010-pe,86,pwr7,P_10_A-H_g,pwr7,pwr7
soep-core,soep-core-2010-pe,86,pwr8,P_10_A-H_g,pwr8,pwr8
soep-core,soep-core-2010-pe,86,pwrso,P_10_A-H_g,pwrso,pwrso
soep-core,soep-core-2010-pe,87,,P_10_A-H_g,pges01,pges01
soep-core,soep-core-2010-pe,88,pges02,P_10_A-H_g,pges02,pges02
soep-core,soep-core-2010-pe,89,pges03,P_10_A-H_g,pges03,pges03
soep-core,soep-core-2010-pe,90,pges04,P_10_A-H_g,pges04,pges04
soep-core,soep-core-2010-pe,90,pges05,P_10_A-H_g,pges05,pges05
soep-core,soep-core-2010-pe,90,pges06,P_10_A-H_g,pges06,pges06
soep-core,soep-core-2010-pe,90,pges07,P_10_A-H_g,pges07,pges07
soep-core,soep-core-2010-pe,90,pges08,P_10_A-H_g,pges08,pges08
soep-core,soep-core-2010-pe,90,pges09,P_10_A-H_g,pges09,pges09
soep-core,soep-core-2010-pe,90,pges10,P_10_A-H_g,pges10,pges10
soep-core,soep-core-2010-pe,90,pges11,P_10_A-H_g,pges11,pges11
soep-core,soep-core-2010-pe,90,pges12,P_10_A-H_g,pges12,pges12
soep-core,soep-core-2010-pe,90,pges13,P_10_A-H_g,pges13,pges13
soep-core,soep-core-2010-pe,92,pschl1,P_10_A-H_g,pschl1,pschl1
soep-core,soep-core-2010-pe,92,pschl2,P_10_A-H_g,pschl2,pschl2
soep-core,soep-core-2010-pe,94,palk1,P_10_A-H_g,palk1,palk1
soep-core,soep-core-2010-pe,94,palk2,P_10_A-H_g,palk2,palk2
soep-core,soep-core-2010-pe,94,palk3,P_10_A-H_g,palk3,palk3
soep-core,soep-core-2010-pe,94,palk4,P_10_A-H_g,palk4,palk4
soep-core,soep-core-2010-pe,95,prauch2,P_10_A-H_g,prauch2,prauch2
soep-core,soep-core-2010-pe,95,prauch3,P_10_A-H_g,prauch3,prauch3
soep-core,soep-core-2010-pe,95,prauch4,P_10_A-H_g,prauch4,prauch4
soep-core,soep-core-2010-pe,96,pgr,P_10_A-H_g,pgr,pgr
soep-core,soep-core-2010-pe,97,pkilo,P_10_A-H_g,pkilo,pkilo
soep-core,soep-core-2010-pe,98,pbeh2,P_10_A-H_g,pbeh2,pbeh2
soep-core,soep-core-2010-pe,98,pbehx,P_10_A-H_g,pbehx,pbehx
soep-core,soep-core-2010-pe,99,pdr1,P_10_A-H_g,pdr1,pdr1
soep-core,soep-core-2010-pe,99,pdr2,P_10_A-H_g,pdr2,pdr2
soep-core,soep-core-2010-pe,B,pdauer1,P_10_A-H_g,pdauer1,pdauer1
soep-core,soep-core-2010-pe,B,pdauer2,P_10_A-H_g,pdauer2,pdauer2
soep-core,soep-core-2011-pe,1,pzuf01,P11_A-H_g,pzuf01,pzuf01
soep-core,soep-core-2011-pe,1,pzuf02,P11_A-H_g,pzuf02,pzuf02
soep-core,soep-core-2011-pe,1,pzuf03,P11_A-H_g,pzuf03,pzuf03
soep-core,soep-core-2011-pe,1,pzuf04,P11_A-H_g,pzuf04,pzuf04
soep-core,soep-core-2011-pe,1,pzuf05,P11_A-H_g,pzuf05,pzuf05
soep-core,soep-core-2011-pe,1,pzuf07,P11_A-H_g,pzuf07,pzuf07
soep-core,soep-core-2011-pe,1,pzuf08,P11_A-H_g,pzuf08,pzuf08
soep-core,soep-core-2011-pe,1,pzuf09,P11_A-H_g,pzuf09,pzuf09
soep-core,soep-core-2011-pe,1,pzuf13,P11_A-H_g,pzuf13,pzuf13
soep-core,soep-core-2011-pe,1,pzuf14,P11_A-H_g,pzuf14,pzuf14
soep-core,soep-core-2011-pe,1,pzuf20,P11_A-H_g,pzuf20,pzuf20
soep-core,soep-core-2011-pe,10,,P11_A-H_g,pnerw02,pnerw02
soep-core,soep-core-2011-pe,100,pkr10,P11_A-H_g,pkr10,pkr10
soep-core,soep-core-2011-pe,100,pkr11,P11_A-H_g,pkr11,pkr11
soep-core,soep-core-2011-pe,100,pkr12,P11_A-H_g,pkr12,pkr12
soep-core,soep-core-2011-pe,100,pkr13,P11_A-H_g,pkr13,pkr13
soep-core,soep-core-2011-pe,100,pkr14,P11_A-H_g,pkr14,pkr14
soep-core,soep-core-2011-pe,100,pkr15,P11_A-H_g,pkr15,pkr15
soep-core,soep-core-2011-pe,100,pkr16,P11_A-H_g,pkr16,pkr16
soep-core,soep-core-2011-pe,100,pkr23,P11_A-H_g,pkr23,pkr23
soep-core,soep-core-2011-pe,100,pkr24,P11_A-H_g,pkr24,pkr24
soep-core,soep-core-2011-pe,100,pkr25,P11_A-H_g,pkr25,pkr25
soep-core,soep-core-2011-pe,100,pkr7,P11_A-H_g,pkr7,pkr7
soep-core,soep-core-2011-pe,100,pkr8,P11_A-H_g,pkr8,pkr8
soep-core,soep-core-2011-pe,100,pkr9,P11_A-H_g,pkr9,pkr9
soep-core,soep-core-2011-pe,100,pkrno,P11_A-H_g,pkrno,pkrno
soep-core,soep-core-2011-pe,100,pkrso,P11_A-H_g,pkrso,pkrso
soep-core,soep-core-2011-pe,101,,P11_A-H_g,pbeh1,pbeh1
soep-core,soep-core-2011-pe,101,pbeh2,P11_A-H_g,pbeh2,pbeh2
soep-core,soep-core-2011-pe,102,pdr1,P11_A-H_g,pdr1,pdr1
soep-core,soep-core-2011-pe,102,pdr2,P11_A-H_g,pdr2,pdr2
soep-core,soep-core-2011-pe,103,,P11_A-H_g,pkr1,pkr1
soep-core,soep-core-2011-pe,104,pkr2,P11_A-H_g,pkr2,pkr2
soep-core,soep-core-2011-pe,104,pkr3,P11_A-H_g,pkr3,pkr3
soep-core,soep-core-2011-pe,105,,P11_A-H_g,pkr5,pkr5
soep-core,soep-core-2011-pe,105,,P11_A-H_g,pkr6,pkr6
soep-core,soep-core-2011-pe,105,pkr4,P11_A-H_g,pkr4,pkr4
soep-core,soep-core-2011-pe,106,pkr18,P11_A-H_g,pkr18,pkr18
soep-core,soep-core-2011-pe,106,pkr19,P11_A-H_g,pkr19,pkr19
soep-core,soep-core-2011-pe,106,pkr20,P11_A-H_g,pkr20,pkr20
soep-core,soep-core-2011-pe,106,pkr21,P11_A-H_g,pkr21,pkr21
soep-core,soep-core-2011-pe,106,pkr22,P11_A-H_g,pkr22,pkr22
soep-core,soep-core-2011-pe,107,,P11_A-H_g,pbei,pbei
soep-core,soep-core-2011-pe,108,,P11_A-H_g,pkkw,pkkw
soep-core,soep-core-2011-pe,109,,P11_A-H_g,pkv01,pkv01
soep-core,soep-core-2011-pe,11,,P11_A-H_g,pnerw03,pnerw03
soep-core,soep-core-2011-pe,110,,P11_A-H_g,pkv02,pkv02
soep-core,soep-core-2011-pe,110,pkvso,P11_A-H_g,pkvso,pkvso
soep-core,soep-core-2011-pe,111,,P11_A-H_g,pkv03,pkv03
soep-core,soep-core-2011-pe,112,,P11_A-H_g,pkv13,pkv13
soep-core,soep-core-2011-pe,112,pkv14,P11_A-H_g,pkv14,pkv14
soep-core,soep-core-2011-pe,113,,P11_A-H_g,pkv04,pkv04
soep-core,soep-core-2011-pe,114,pkv05,P11_A-H_g,pkv05,pkv05
soep-core,soep-core-2011-pe,114,pkv06,P11_A-H_g,pkv06,pkv06
soep-core,soep-core-2011-pe,115,pkv07,P11_A-H_g,pkv07,pkv07
soep-core,soep-core-2011-pe,115,pkv08,P11_A-H_g,pkv08,pkv08
soep-core,soep-core-2011-pe,115,pkv09,P11_A-H_g,pkv09,pkv09
soep-core,soep-core-2011-pe,115,pkv10,P11_A-H_g,pkv10,pkv10
soep-core,soep-core-2011-pe,115,pkv11,P11_A-H_g,pkv11,pkv11
soep-core,soep-core-2011-pe,115,pkv12,P11_A-H_g,pkv12,pkv12
soep-core,soep-core-2011-pe,116,,P11_A-H_g,ppkv01,ppkv01
soep-core,soep-core-2011-pe,117,,P11_A-H_g,ppkv02,ppkv02
soep-core,soep-core-2011-pe,117,,P11_A-H_g,ppkv03,ppkv03
soep-core,soep-core-2011-pe,118,ppkv04,P11_A-H_g,ppkv04,ppkv04
soep-core,soep-core-2011-pe,118,ppkv05,P11_A-H_g,ppkv05,ppkv05
soep-core,soep-core-2011-pe,119,,P11_A-H_g,ppkv06,ppkv06
soep-core,soep-core-2011-pe,12,,P11_A-H_g,pnerw04,pnerw04
soep-core,soep-core-2011-pe,120,ppkv09,P11_A-H_g,ppkv09,ppkv09
soep-core,soep-core-2011-pe,120,ppkv10,P11_A-H_g,ppkv10,ppkv10
soep-core,soep-core-2011-pe,121,,P11_A-H_g,prisk,prisk
soep-core,soep-core-2011-pe,122,,P11_A-H_g,prel,prel
soep-core,soep-core-2011-pe,122,prelso,P11_A-H_g,prelso,prelso
soep-core,soep-core-2011-pe,123,porg1,P11_A-H_g,porg1,porg1
soep-core,soep-core-2011-pe,123,porg2,P11_A-H_g,porg2,porg2
soep-core,soep-core-2011-pe,123,porg3,P11_A-H_g,porg3,porg3
soep-core,soep-core-2011-pe,123,porg4,P11_A-H_g,porg4,porg4
soep-core,soep-core-2011-pe,123,porg5,P11_A-H_g,porg5,porg5
soep-core,soep-core-2011-pe,124,pbez06,P11_A-H_g,pbez06,pbez06
soep-core,soep-core-2011-pe,125,p1pera,P11_A-H_g,p1pera,p1pera
soep-core,soep-core-2011-pe,125,p1perb,P11_A-H_g,p1perb,p1perb
soep-core,soep-core-2011-pe,125,p1perc,P11_A-H_g,p1perc,p1perc
soep-core,soep-core-2011-pe,125,p1perd,P11_A-H_g,p1perd,p1perd
soep-core,soep-core-2011-pe,125,p1pere,P11_A-H_g,p1pere,p1pere
soep-core,soep-core-2011-pe,125,p2pera,P11_A-H_g,p2pera,p2pera
soep-core,soep-core-2011-pe,125,p2perb,P11_A-H_g,p2perb,p2perb
soep-core,soep-core-2011-pe,125,p2perc,P11_A-H_g,p2perc,p2perc
soep-core,soep-core-2011-pe,125,p2perd,P11_A-H_g,p2perd,p2perd
soep-core,soep-core-2011-pe,125,p2pere,P11_A-H_g,p2pere,p2pere
soep-core,soep-core-2011-pe,125,p3pera,P11_A-H_g,p3pera,p3pera
soep-core,soep-core-2011-pe,125,p3perb,P11_A-H_g,p3perb,p3perb
soep-core,soep-core-2011-pe,125,p3perc,P11_A-H_g,p3perc,p3perc
soep-core,soep-core-2011-pe,125,p3perd,P11_A-H_g,p3perd,p3perd
soep-core,soep-core-2011-pe,125,p3pere,P11_A-H_g,p3pere,p3pere
soep-core,soep-core-2011-pe,125,p4pera,P11_A-H_g,p4pera,p4pera
soep-core,soep-core-2011-pe,125,p4perb,P11_A-H_g,p4perb,p4perb
soep-core,soep-core-2011-pe,125,p4perc,P11_A-H_g,p4perc,p4perc
soep-core,soep-core-2011-pe,125,p4perd,P11_A-H_g,p4perd,p4perd
soep-core,soep-core-2011-pe,125,p4pere,P11_A-H_g,p4pere,p4pere
soep-core,soep-core-2011-pe,125,p5pera,P11_A-H_g,p5pera,p5pera
soep-core,soep-core-2011-pe,125,p5perb,P11_A-H_g,p5perb,p5perb
soep-core,soep-core-2011-pe,125,p5perc,P11_A-H_g,p5perc,p5perc
soep-core,soep-core-2011-pe,125,p5perd,P11_A-H_g,p5perd,p5perd
soep-core,soep-core-2011-pe,125,p5pere,P11_A-H_g,p5pere,p5pere
soep-core,soep-core-2011-pe,125,pnoa,P11_A-H_g,pnoa,pnoa
soep-core,soep-core-2011-pe,125,pnob,P11_A-H_g,pnob,pnob
soep-core,soep-core-2011-pe,125,pnoc,P11_A-H_g,pnoc,pnoc
soep-core,soep-core-2011-pe,125,pnod,P11_A-H_g,pnod,pnod
soep-core,soep-core-2011-pe,125,pnoe,P11_A-H_g,pnoe,pnoe
soep-core,soep-core-2011-pe,126,p1beka,P11_A-H_g,p1beka,p1beka
soep-core,soep-core-2011-pe,126,p1bekb,P11_A-H_g,p1bekb,p1bekb
soep-core,soep-core-2011-pe,126,p1bekc,P11_A-H_g,p1bekc,p1bekc
soep-core,soep-core-2011-pe,126,p1bekd,P11_A-H_g,p1bekd,p1bekd
soep-core,soep-core-2011-pe,126,p1bekd1,P11_A-H_g,p1bekd1,p1bekd1
soep-core,soep-core-2011-pe,126,p1beke,P11_A-H_g,p1beke,p1beke
soep-core,soep-core-2011-pe,126,p1bekf,P11_A-H_g,p1bekf,p1bekf
soep-core,soep-core-2011-pe,126,p2beka,P11_A-H_g,p2beka,p2beka
soep-core,soep-core-2011-pe,126,p2bekb,P11_A-H_g,p2bekb,p2bekb
soep-core,soep-core-2011-pe,126,p2bekc,P11_A-H_g,p2bekc,p2bekc
soep-core,soep-core-2011-pe,126,p2bekd,P11_A-H_g,p2bekd,p2bekd
soep-core,soep-core-2011-pe,126,p2bekd1,P11_A-H_g,p2bekd1,p2bekd1
soep-core,soep-core-2011-pe,126,p2beke,P11_A-H_g,p2beke,p2beke
soep-core,soep-core-2011-pe,126,p2bekf,P11_A-H_g,p2bekf,p2bekf
soep-core,soep-core-2011-pe,126,p3beka,P11_A-H_g,p3beka,p3beka
soep-core,soep-core-2011-pe,126,p3bekb,P11_A-H_g,p3bekb,p3bekb
soep-core,soep-core-2011-pe,126,p3bekc,P11_A-H_g,p3bekc,p3bekc
soep-core,soep-core-2011-pe,126,p3bekd,P11_A-H_g,p3bekd,p3bekd
soep-core,soep-core-2011-pe,126,p3bekd1,P11_A-H_g,p3bekd1,p3bekd1
soep-core,soep-core-2011-pe,126,p3beke,P11_A-H_g,p3beke,p3beke
soep-core,soep-core-2011-pe,126,p3bekf,P11_A-H_g,p3bekf,p3bekf
soep-core,soep-core-2011-pe,127,p01v,P11_A-H_g,p01v,p01v
soep-core,soep-core-2011-pe,127,p01vb,P11_A-H_g,p01vb,p01vb
soep-core,soep-core-2011-pe,127,p02v,P11_A-H_g,p02v,p02v
soep-core,soep-core-2011-pe,127,p02va,P11_A-H_g,p02va,p02va
soep-core,soep-core-2011-pe,127,p02vb,P11_A-H_g,p02vb,p02vb
soep-core,soep-core-2011-pe,127,p03v,P11_A-H_g,p03v,p03v
soep-core,soep-core-2011-pe,127,p03vb,P11_A-H_g,p03vb,p03vb
soep-core,soep-core-2011-pe,127,p04v,P11_A-H_g,p04v,p04v
soep-core,soep-core-2011-pe,127,p04vb,P11_A-H_g,p04vb,p04vb
soep-core,soep-core-2011-pe,127,p05v,P11_A-H_g,p05v,p05v
soep-core,soep-core-2011-pe,127,p05vb,P11_A-H_g,p05vb,p05vb
soep-core,soep-core-2011-pe,127,p06v,P11_A-H_g,p06v,p06v
soep-core,soep-core-2011-pe,127,p06vb,P11_A-H_g,p06vb,p06vb
soep-core,soep-core-2011-pe,127,p07v,P11_A-H_g,p07v,p07v
soep-core,soep-core-2011-pe,127,p07va,P11_A-H_g,p07va,p07va
soep-core,soep-core-2011-pe,127,p07vb,P11_A-H_g,p07vb,p07vb
soep-core,soep-core-2011-pe,127,p08v,P11_A-H_g,p08v,p08v
soep-core,soep-core-2011-pe,127,p08va,P11_A-H_g,p08va,p08va
soep-core,soep-core-2011-pe,127,p08vb,P11_A-H_g,p08vb,p08vb
soep-core,soep-core-2011-pe,127,p09v,P11_A-H_g,p09v,p09v
soep-core,soep-core-2011-pe,127,p09va,P11_A-H_g,p09va,p09va
soep-core,soep-core-2011-pe,127,p09vb,P11_A-H_g,p09vb,p09vb
soep-core,soep-core-2011-pe,127,p10v,P11_A-H_g,p10v,p10v
soep-core,soep-core-2011-pe,127,p10va,P11_A-H_g,p10va,p10va
soep-core,soep-core-2011-pe,127,p10vb,P11_A-H_g,p10vb,p10vb
soep-core,soep-core-2011-pe,127,p11v,P11_A-H_g,p11v,p11v
soep-core,soep-core-2011-pe,127,p11va,P11_A-H_g,p11va,p11va
soep-core,soep-core-2011-pe,127,p11vb,P11_A-H_g,p11vb,p11vb
soep-core,soep-core-2011-pe,127,p12v,P11_A-H_g,p12v,p12v
soep-core,soep-core-2011-pe,127,p12va,P11_A-H_g,p12va,p12va
soep-core,soep-core-2011-pe,127,p12vb,P11_A-H_g,p12vb,p12vb
soep-core,soep-core-2011-pe,127,p13v,P11_A-H_g,p13v,p13v
soep-core,soep-core-2011-pe,127,p13va,P11_A-H_g,p13va,p13va
soep-core,soep-core-2011-pe,127,p13vb,P11_A-H_g,p13vb,p13vb
soep-core,soep-core-2011-pe,127,p14v,P11_A-H_g,p14v,p14v
soep-core,soep-core-2011-pe,127,p14va,P11_A-H_g,p14va,p14va
soep-core,soep-core-2011-pe,127,p14vb,P11_A-H_g,p14vb,p14vb
soep-core,soep-core-2011-pe,127,p15v,P11_A-H_g,p15v,p15v
soep-core,soep-core-2011-pe,127,p15va,P11_A-H_g,p15va,p15va
soep-core,soep-core-2011-pe,127,p15vb,P11_A-H_g,p15vb,p15vb
soep-core,soep-core-2011-pe,127,p16v,P11_A-H_g,p16v,p16v
soep-core,soep-core-2011-pe,127,p16va,P11_A-H_g,p16va,p16va
soep-core,soep-core-2011-pe,127,p16vb,P11_A-H_g,p16vb,p16vb
soep-core,soep-core-2011-pe,128,,P11_A-H_g,ppol1,ppol1
soep-core,soep-core-2011-pe,129,,P11_A-H_g,ppol2,ppol2
soep-core,soep-core-2011-pe,13,pnerw01,P11_A-H_g,pnerw01,pnerw01
soep-core,soep-core-2011-pe,130,,P11_A-H_g,ppol3,ppol3
soep-core,soep-core-2011-pe,130,ppol4,P11_A-H_g,ppol4,ppol4
soep-core,soep-core-2011-pe,130,ppolso,P11_A-H_g,ppolso,ppolso
soep-core,soep-core-2011-pe,131,,P11_A-H_g,psornr,psornr
soep-core,soep-core-2011-pe,131,psor01,P11_A-H_g,psor01,psor01
soep-core,soep-core-2011-pe,131,psor02,P11_A-H_g,psor02,psor02
soep-core,soep-core-2011-pe,131,psor03,P11_A-H_g,psor03,psor03
soep-core,soep-core-2011-pe,131,psor04,P11_A-H_g,psor04,psor04
soep-core,soep-core-2011-pe,131,psor05,P11_A-H_g,psor05,psor05
soep-core,soep-core-2011-pe,131,psor06,P11_A-H_g,psor06,psor06
soep-core,soep-core-2011-pe,131,psor08,P11_A-H_g,psor08,psor08
soep-core,soep-core-2011-pe,131,psor09,P11_A-H_g,psor09,psor09
soep-core,soep-core-2011-pe,131,psor10,P11_A-H_g,psor10,psor10
soep-core,soep-core-2011-pe,131,psor11,P11_A-H_g,psor11,psor11
soep-core,soep-core-2011-pe,131,psor12,P11_A-H_g,psor12,psor12
soep-core,soep-core-2011-pe,131,psor13,P11_A-H_g,psor13,psor13
soep-core,soep-core-2011-pe,131,psor14,P11_A-H_g,psor14,psor14
soep-core,soep-core-2011-pe,131,psorso,P11_A-H_g,psorso,psorso
soep-core,soep-core-2011-pe,132,,P11_A-H_g,psex,psex
soep-core,soep-core-2011-pe,132,ppgeb,P11_A-H_g,ppgeb,ppgeb
soep-core,soep-core-2011-pe,133,,P11_A-H_g,pfamst,pfamst
soep-core,soep-core-2011-pe,134,,P11_A-H_g,ppnr,ppnr
soep-core,soep-core-2011-pe,134,pp1,P11_A-H_g,pp1,pp1
soep-core,soep-core-2011-pe,134,pp2,P11_A-H_g,pp2,pp2
soep-core,soep-core-2011-pe,134,ppnam,P11_A-H_g,ppnam,ppnam
soep-core,soep-core-2011-pe,135,,P11_A-H_g,pmusp1,pmusp1
soep-core,soep-core-2011-pe,136,pmusp2,P11_A-H_g,pmusp2,pmusp2
soep-core,soep-core-2011-pe,136,pmusp3,P11_A-H_g,pmusp3,pmusp3
soep-core,soep-core-2011-pe,136,pmusp4,P11_A-H_g,pmusp4,pmusp4
soep-core,soep-core-2011-pe,136,pmusp5,P11_A-H_g,pmusp5,pmusp5
soep-core,soep-core-2011-pe,136,pmusp6,P11_A-H_g,pmusp6,pmusp6
soep-core,soep-core-2011-pe,136,pmusp7,P11_A-H_g,pmusp7,pmusp7
soep-core,soep-core-2011-pe,137,,P11_A-H_g,pna04,pna04
soep-core,soep-core-2011-pe,138,pher1,P11_A-H_g,pher1,pher1
soep-core,soep-core-2011-pe,138,pher2,P11_A-H_g,pher2,pher2
soep-core,soep-core-2011-pe,139,pher3,P11_A-H_g,pher3,pher3
soep-core,soep-core-2011-pe,139,pher4,P11_A-H_g,pher4,pher4
soep-core,soep-core-2011-pe,14,pnerw07,P11_A-H_g,pnerw07,pnerw07
soep-core,soep-core-2011-pe,14,pnerw08,P11_A-H_g,pnerw08,pnerw08
soep-core,soep-core-2011-pe,140,,P11_A-H_g,psta1,psta1
soep-core,soep-core-2011-pe,141,,P11_A-H_g,psta2nr,psta2nr
soep-core,soep-core-2011-pe,141,,P11_A-H_g,psta2,psta2
soep-core,soep-core-2011-pe,141,psta2x,P11_A-H_g,psta2x,psta2x
soep-core,soep-core-2011-pe,142,,P11_A-H_g,psta3,psta3
soep-core,soep-core-2011-pe,143,,P11_A-H_g,ppnat,ppnat
soep-core,soep-core-2011-pe,143,,P11_A-H_g,pnatnr,pnatnr
soep-core,soep-core-2011-pe,144,,P11_A-H_g,pnat01,pnat01
soep-core,soep-core-2011-pe,145,,P11_A-H_g,pna09,pna09
soep-core,soep-core-2011-pe,146,,P11_A-H_g,pnat10,pnat10
soep-core,soep-core-2011-pe,147,,P11_A-H_g,pnat11,pnat11
soep-core,soep-core-2011-pe,147,pnat12,P11_A-H_g,pnat12,pnat12
soep-core,soep-core-2011-pe,147,pnat13,P11_A-H_g,pnat13,pnat13
soep-core,soep-core-2011-pe,148,punt11,P11_A-H_g,punt11,punt11
soep-core,soep-core-2011-pe,148,punt12,P11_A-H_g,punt12,punt12
soep-core,soep-core-2011-pe,148,punt13,P11_A-H_g,punt13,punt13
soep-core,soep-core-2011-pe,148,punt14,P11_A-H_g,punt14,punt14
soep-core,soep-core-2011-pe,148,punt21,P11_A-H_g,punt21,punt21
soep-core,soep-core-2011-pe,148,punt22,P11_A-H_g,punt22,punt22
soep-core,soep-core-2011-pe,148,punt23,P11_A-H_g,punt23,punt23
soep-core,soep-core-2011-pe,148,punt24,P11_A-H_g,punt24,punt24
soep-core,soep-core-2011-pe,148,punt31,P11_A-H_g,punt31,punt31
soep-core,soep-core-2011-pe,148,punt32,P11_A-H_g,punt32,punt32
soep-core,soep-core-2011-pe,148,punt33,P11_A-H_g,punt33,punt33
soep-core,soep-core-2011-pe,148,punt34,P11_A-H_g,punt34,punt34
soep-core,soep-core-2011-pe,148,punt41,P11_A-H_g,punt41,punt41
