study,instrument,question,item,dataset,variable,concept
soep-core,soep-core-2006-int,8,itebe02,int06net,itebe02,
soep-core,soep-core-2006-int,8,itebe03,int06net,itebe03,
soep-core,soep-core-2006-int,8,itebe04,int06net,itebe04,
soep-core,soep-core-2006-int,8,itebe05,int06net,itebe05,
soep-core,soep-core-2006-int,8,itebe06,int06net,itebe06,
soep-core,soep-core-2006-int,8,itebe07,int06net,itebe07,
soep-core,soep-core-2006-int,8,itebe08,int06net,itebe08,
soep-core,soep-core-2006-int,8,itebe09,int06net,itebe09,
soep-core,soep-core-2006-int,8,itebe10,int06net,itebe10,
soep-core,soep-core-2006-int,8,itebe11,int06net,itebe11,
soep-core,soep-core-2006-int,9,igift01,int06net,igift01,
soep-core,soep-core-2006-int,9,igift02,int06net,igift02,
soep-core,soep-core-2006-int,9,igift03,int06net,igift08,
soep-core,soep-core-2006-int,9,igift04,int06net,igift03,
soep-core,soep-core-2006-int,9,igift05,int06net,igift09,
soep-core,soep-core-2006-int,9,igift06,int06net,igift04,
soep-core,soep-core-2006-int,9,igift07,int06net,igift10,
soep-core,soep-core-2006-int,9,igift08,int06net,igift05,
soep-core,soep-core-2006-int,9,igift09,int06net,igift11,
soep-core,soep-core-2006-int,9,igift10,int06net,igift06,
soep-core,soep-core-2006-int,9,igift11,int06net,igift12,
soep-core,soep-core-2006-int,9,igift12,int06net,igift07,
soep-core,soep-core-2006-int,9,igift13,int06net,igift13,
soep-core,soep-core-2006-int,A,idatt,int06net,idatt,
soep-core,soep-core-2006-int,B,idatm,int06net,idatm,
soep-core,soep-core-2009-pe,1,pzuf01,P09_A-H_g,pzuf01,pzuf01
soep-core,soep-core-2009-pe,1,pzuf02,P09_A-H_g,pzuf02,pzuf02
soep-core,soep-core-2009-pe,1,pzuf03,P09_A-H_g,pzuf03,pzuf03
soep-core,soep-core-2009-pe,1,pzuf04,P09_A-H_g,pzuf04,pzuf04
soep-core,soep-core-2009-pe,1,pzuf05,P09_A-H_g,pzuf05,pzuf05
soep-core,soep-core-2009-pe,1,pzuf07,P09_A-H_g,pzuf07,pzuf07
soep-core,soep-core-2009-pe,1,pzuf08,P09_A-H_g,pzuf08,pzuf08
soep-core,soep-core-2009-pe,1,pzuf09,P09_A-H_g,pzuf09,pzuf09
soep-core,soep-core-2009-pe,1,pzuf13,P09_A-H_g,pzuf13,pzuf13
soep-core,soep-core-2009-pe,1,pzuf19,P09_A-H_g,pzuf19,pzuf19
soep-core,soep-core-2009-pe,1,pzuf20,P09_A-H_g,pzuf20,pzuf20
soep-core,soep-core-2009-pe,10,,P09_A-H_g,pnerw02,pnerw02
soep-core,soep-core-2009-pe,100,,P09_A-H_g,pkr4,pkr4
soep-core,soep-core-2009-pe,101,pkr5,P09_A-H_g,pkr5,pkr5
soep-core,soep-core-2009-pe,101,pkr6,P09_A-H_g,pkr6,pkr6
soep-core,soep-core-2009-pe,102,pkr10,P09_A-H_g,pkr10,pkr10
soep-core,soep-core-2009-pe,102,pkr11,P09_A-H_g,pkr11,pkr11
soep-core,soep-core-2009-pe,102,pkr12,P09_A-H_g,pkr12,pkr12
soep-core,soep-core-2009-pe,102,pkr13,P09_A-H_g,pkr13,pkr13
soep-core,soep-core-2009-pe,102,pkr14,P09_A-H_g,pkr14,pkr14
soep-core,soep-core-2009-pe,102,pkr15,P09_A-H_g,pkr15,pkr15
soep-core,soep-core-2009-pe,102,pkr16,P09_A-H_g,pkr16,pkr16
soep-core,soep-core-2009-pe,102,pkr7,P09_A-H_g,pkr7,pkr7
soep-core,soep-core-2009-pe,102,pkr8,P09_A-H_g,pkr8,pkr8
soep-core,soep-core-2009-pe,102,pkr9,P09_A-H_g,pkr9,pkr9
soep-core,soep-core-2009-pe,102,pkrno,P09_A-H_g,pkrno,pkrno
soep-core,soep-core-2009-pe,102,pkrso,P09_A-H_g,pkrso,pkrso
soep-core,soep-core-2009-pe,103,,P09_A-H_g,pkr17,pkr17
soep-core,soep-core-2009-pe,104,pschl1,P09_A-H_g,pschl1,pschl1
soep-core,soep-core-2009-pe,104,pschl2,P09_A-H_g,pschl2,pschl2
soep-core,soep-core-2009-pe,105,,P09_A-H_g,pbei,pbei
soep-core,soep-core-2009-pe,106,,P09_A-H_g,pkkw,pkkw
soep-core,soep-core-2009-pe,107,,P09_A-H_g,pkv02,pkv02
soep-core,soep-core-2009-pe,107,,P09_A-H_g,pkv01,pkv01
soep-core,soep-core-2009-pe,108,pkvso,P09_A-H_g,pkvso,pkvso
soep-core,soep-core-2009-pe,109,,P09_A-H_g,pkv03,pkv03
soep-core,soep-core-2009-pe,11,,P09_A-H_g,pnerw03,pnerw03
soep-core,soep-core-2009-pe,110,,P09_A-H_g,pktka,
soep-core,soep-core-2009-pe,110,,P09_A-H_g,pkt01,pkt01
soep-core,soep-core-2009-pe,110,pkt02,P09_A-H_g,pkt02,pkt02
soep-core,soep-core-2009-pe,110,pkt03,P09_A-H_g,pkt03,pkt03
soep-core,soep-core-2009-pe,110,pkt04,P09_A-H_g,pkt04,pkt04
soep-core,soep-core-2009-pe,110,pkt05,P09_A-H_g,pkt05,pkt05
soep-core,soep-core-2009-pe,110,pkt06,P09_A-H_g,pkt06,pkt06
soep-core,soep-core-2009-pe,110,pkt07,P09_A-H_g,pkt07,pkt07
soep-core,soep-core-2009-pe,110,pkt08,P09_A-H_g,pkt08,pkt08
soep-core,soep-core-2009-pe,110,pkt09,P09_A-H_g,pkt09,pkt09
soep-core,soep-core-2009-pe,111,,P09_A-H_g,pkkw1,pkkw1
soep-core,soep-core-2009-pe,112,,P09_A-H_g,ppkv01,ppkv01
soep-core,soep-core-2009-pe,113,ppkv02,P09_A-H_g,ppkv02,ppkv02
soep-core,soep-core-2009-pe,113,ppkv03,P09_A-H_g,ppkv03,ppkv03
soep-core,soep-core-2009-pe,114,ppkv04,P09_A-H_g,ppkv04,ppkv04
soep-core,soep-core-2009-pe,114,ppkv05,P09_A-H_g,ppkv05,ppkv05
soep-core,soep-core-2009-pe,115,,P09_A-H_g,ppkv06,ppkv06
soep-core,soep-core-2009-pe,116,ppkv09,P09_A-H_g,ppkv09,ppkv09
soep-core,soep-core-2009-pe,116,ppkv10,P09_A-H_g,ppkv10,ppkv10
soep-core,soep-core-2009-pe,117,pgef1,P09_A-H_g,pgef1,pgef1
soep-core,soep-core-2009-pe,117,pgef2,P09_A-H_g,pgef2,pgef2
soep-core,soep-core-2009-pe,117,pgef3,P09_A-H_g,pgef3,pgef3
soep-core,soep-core-2009-pe,117,pgef4,P09_A-H_g,pgef4,pgef4
soep-core,soep-core-2009-pe,118,prisk2,P09_A-H_g,prisk2,prisk2
soep-core,soep-core-2009-pe,118,prisk3,P09_A-H_g,prisk3,prisk3
soep-core,soep-core-2009-pe,118,prisk4,P09_A-H_g,prisk4,prisk4
soep-core,soep-core-2009-pe,118,prisk5,P09_A-H_g,prisk5,prisk5
soep-core,soep-core-2009-pe,118,prisk6,P09_A-H_g,prisk6,prisk6
soep-core,soep-core-2009-pe,118,prisk7,P09_A-H_g,prisk7,prisk7
soep-core,soep-core-2009-pe,119,,P09_A-H_g,prisk8,prisk8
soep-core,soep-core-2009-pe,12,,P09_A-H_g,pnerw04,pnerw04
soep-core,soep-core-2009-pe,120,pego01,P09_A-H_g,pego01,pego01
soep-core,soep-core-2009-pe,120,pego02,P09_A-H_g,pego02,pego02
soep-core,soep-core-2009-pe,120,pego03,P09_A-H_g,pego03,pego03
soep-core,soep-core-2009-pe,120,pego04,P09_A-H_g,pego04,pego04
soep-core,soep-core-2009-pe,120,pego05,P09_A-H_g,pego05,pego05
soep-core,soep-core-2009-pe,120,pego06,P09_A-H_g,pego06,pego06
soep-core,soep-core-2009-pe,120,pego07,P09_A-H_g,pego07,pego07
soep-core,soep-core-2009-pe,120,pego08,P09_A-H_g,pego08,pego08
soep-core,soep-core-2009-pe,120,pego09,P09_A-H_g,pego09,pego09
soep-core,soep-core-2009-pe,120,pego10,P09_A-H_g,pego10,pego10
soep-core,soep-core-2009-pe,120,pego11,P09_A-H_g,pego11,pego11
soep-core,soep-core-2009-pe,120,pego12,P09_A-H_g,pego12,pego12
soep-core,soep-core-2009-pe,120,pego13,P09_A-H_g,pego13,pego13
soep-core,soep-core-2009-pe,120,pego14,P09_A-H_g,pego14,pego14
soep-core,soep-core-2009-pe,120,pego15,P09_A-H_g,pego15,pego15
soep-core,soep-core-2009-pe,120,pego16,P09_A-H_g,pego16,pego16
soep-core,soep-core-2009-pe,121,,P09_A-H_g,prisk,prisk
soep-core,soep-core-2009-pe,122,,P09_A-H_g,ppol1,ppol1
soep-core,soep-core-2009-pe,123,,P09_A-H_g,ppol2,ppol2
soep-core,soep-core-2009-pe,124,,P09_A-H_g,ppol3,ppol3
soep-core,soep-core-2009-pe,124,ppol4,P09_A-H_g,ppol4,ppol4
soep-core,soep-core-2009-pe,124,ppolso,P09_A-H_g,ppolso,ppolso
soep-core,soep-core-2009-pe,125,,P09_A-H_g,ppol7,ppol7
soep-core,soep-core-2009-pe,126,ppol6,P09_A-H_g,ppol6,ppol6
soep-core,soep-core-2009-pe,127,,P09_A-H_g,ppol5,ppol5
soep-core,soep-core-2009-pe,128,,P09_A-H_g,psornr,psornr
soep-core,soep-core-2009-pe,128,psor01,P09_A-H_g,psor01,psor01
soep-core,soep-core-2009-pe,128,psor02,P09_A-H_g,psor02,psor02
soep-core,soep-core-2009-pe,128,psor03,P09_A-H_g,psor03,psor03
soep-core,soep-core-2009-pe,128,psor04,P09_A-H_g,psor04,psor04
soep-core,soep-core-2009-pe,128,psor05,P09_A-H_g,psor05,psor05
soep-core,soep-core-2009-pe,128,psor06,P09_A-H_g,psor06,psor06
soep-core,soep-core-2009-pe,128,psor08,P09_A-H_g,psor08,psor08
soep-core,soep-core-2009-pe,128,psor09,P09_A-H_g,psor09,psor09
soep-core,soep-core-2009-pe,128,psor10,P09_A-H_g,psor10,psor10
soep-core,soep-core-2009-pe,128,psor12,P09_A-H_g,psor12,psor12
soep-core,soep-core-2009-pe,128,psor13,P09_A-H_g,psor13,psor13
soep-core,soep-core-2009-pe,128,psor14,P09_A-H_g,psor14,psor14
soep-core,soep-core-2009-pe,128,psorso,P09_A-H_g,psorso,psorso
soep-core,soep-core-2009-pe,129,,P09_A-H_g,psex,psex
soep-core,soep-core-2009-pe,129,ppgeb,P09_A-H_g,ppgeb,ppgeb
soep-core,soep-core-2009-pe,13,,P09_A-H_g,pnerw01,pnerw01
soep-core,soep-core-2009-pe,130,,P09_A-H_g,pfamst,pfamst
soep-core,soep-core-2009-pe,131,,P09_A-H_g,pp1,pp1
soep-core,soep-core-2009-pe,131,,P09_A-H_g,ppnr,ppnr
soep-core,soep-core-2009-pe,131,pp2,P09_A-H_g,pp2,pp2
soep-core,soep-core-2009-pe,131,ppnam,P09_A-H_g,ppnam,ppnam
soep-core,soep-core-2009-pe,133,,P09_A-H_g,pmusp1,pmusp1
soep-core,soep-core-2009-pe,133,pmusp2,P09_A-H_g,pmusp2,pmusp2
soep-core,soep-core-2009-pe,133,pmusp3,P09_A-H_g,pmusp3,pmusp3
soep-core,soep-core-2009-pe,133,pmusp4,P09_A-H_g,pmusp4,pmusp4
soep-core,soep-core-2009-pe,133,pmusp5,P09_A-H_g,pmusp5,pmusp5
soep-core,soep-core-2009-pe,134,,P09_A-H_g,pna04,pna04
soep-core,soep-core-2009-pe,135,pher1,P09_A-H_g,pher1,pher1
soep-core,soep-core-2009-pe,135,pher2,P09_A-H_g,pher2,pher2
soep-core,soep-core-2009-pe,136,pher3,P09_A-H_g,pher3,pher3
soep-core,soep-core-2009-pe,136,pher4,P09_A-H_g,pher4,pher4
soep-core,soep-core-2009-pe,137,,P09_A-H_g,psta1,psta1
soep-core,soep-core-2009-pe,138,,P09_A-H_g,psta2,psta2
soep-core,soep-core-2009-pe,138,psta2x,P09_A-H_g,psta2x,psta2x
soep-core,soep-core-2009-pe,139,,P09_A-H_g,psta3,psta3
soep-core,soep-core-2009-pe,139,,P09_A-H_g,psta2nr,psta2nr
soep-core,soep-core-2009-pe,139,,P09_A-H_g,ppnat,ppnat
soep-core,soep-core-2009-pe,14,pnerw07,P09_A-H_g,pnerw07,pnerw07
soep-core,soep-core-2009-pe,14,pnerw08,P09_A-H_g,pnerw08,pnerw08
soep-core,soep-core-2009-pe,140,,P09_A-H_g,pnatnr,pnatnr
soep-core,soep-core-2009-pe,141,,P09_A-H_g,pnat01,pnat01
soep-core,soep-core-2009-pe,142,,P09_A-H_g,pna09,pna09
soep-core,soep-core-2009-pe,143,,P09_A-H_g,pnat10,pnat10
soep-core,soep-core-2009-pe,144,,P09_A-H_g,pnat11,pnat11
soep-core,soep-core-2009-pe,144,pnat12,P09_A-H_g,pnat12,pnat12
soep-core,soep-core-2009-pe,144,pnat13,P09_A-H_g,pnat13,pnat13
soep-core,soep-core-2009-pe,145,,P09_A-H_g,pzug01,pzug01
soep-core,soep-core-2009-pe,146,,P09_A-H_g,pzug02,pzug02
soep-core,soep-core-2009-pe,147,,P09_A-H_g,pzug03,pzug03
soep-core,soep-core-2009-pe,148,,P09_A-H_g,pzug04,pzug04
soep-core,soep-core-2009-pe,149,,P09_A-H_g,pzug05,pzug05
soep-core,soep-core-2009-pe,15,pnerw14,P09_A-H_g,pnerw14,pnerw14
soep-core,soep-core-2009-pe,150,,P09_A-H_g,pzug06,pzug06
soep-core,soep-core-2009-pe,151,,P09_A-H_g,pzug07,pzug07
soep-core,soep-core-2009-pe,152,,P09_A-H_g,pzug08,pzug08
soep-core,soep-core-2009-pe,152,,P09_A-H_g,pzugnr,
soep-core,soep-core-2009-pe,153,,P09_A-H_g,pzug09,pzug09
soep-core,soep-core-2009-pe,154,punt11,P09_A-H_g,punt11,punt11
soep-core,soep-core-2009-pe,154,punt12,P09_A-H_g,punt12,punt12
soep-core,soep-core-2009-pe,154,punt13,P09_A-H_g,punt13,punt13
soep-core,soep-core-2009-pe,154,punt14,P09_A-H_g,punt14,punt14
soep-core,soep-core-2009-pe,154,punt21,P09_A-H_g,punt21,punt21
soep-core,soep-core-2009-pe,154,punt22,P09_A-H_g,punt22,punt22
soep-core,soep-core-2009-pe,154,punt23,P09_A-H_g,punt23,punt23
soep-core,soep-core-2009-pe,154,punt24,P09_A-H_g,punt24,punt24
soep-core,soep-core-2009-pe,154,punt31,P09_A-H_g,punt31,punt31
soep-core,soep-core-2009-pe,154,punt32,P09_A-H_g,punt32,punt32
soep-core,soep-core-2009-pe,154,punt33,P09_A-H_g,punt33,punt33
soep-core,soep-core-2009-pe,154,punt34,P09_A-H_g,punt34,punt34
soep-core,soep-core-2009-pe,154,punt41,P09_A-H_g,punt41,punt41
soep-core,soep-core-2009-pe,154,punt42,P09_A-H_g,punt42,punt42
soep-core,soep-core-2009-pe,154,punt43,P09_A-H_g,punt43,punt43
soep-core,soep-core-2009-pe,154,punt44,P09_A-H_g,punt44,punt44
soep-core,soep-core-2009-pe,154,punt51,P09_A-H_g,punt51,punt51
soep-core,soep-core-2009-pe,154,punt52,P09_A-H_g,punt52,punt52
soep-core,soep-core-2009-pe,154,punt53,P09_A-H_g,punt53,punt53
soep-core,soep-core-2009-pe,154,punt54,P09_A-H_g,punt54,punt54
soep-core,soep-core-2009-pe,154,puntno,P09_A-H_g,puntno,puntno
soep-core,soep-core-2009-pe,155,punt101,P09_A-H_g,punt101,punt101
soep-core,soep-core-2009-pe,155,punt102,P09_A-H_g,punt102,punt102
soep-core,soep-core-2009-pe,155,punt103,P09_A-H_g,punt103,punt103
soep-core,soep-core-2009-pe,155,punt104,P09_A-H_g,punt104,punt104
soep-core,soep-core-2009-pe,155,punt61,P09_A-H_g,punt61,punt61
soep-core,soep-core-2009-pe,155,punt62,P09_A-H_g,punt62,punt62
soep-core,soep-core-2009-pe,155,punt63,P09_A-H_g,punt63,punt63
soep-core,soep-core-2009-pe,155,punt64,P09_A-H_g,punt64,punt64
soep-core,soep-core-2009-pe,155,punt71,P09_A-H_g,punt71,punt71
soep-core,soep-core-2009-pe,155,punt72,P09_A-H_g,punt72,punt72
soep-core,soep-core-2009-pe,155,punt73,P09_A-H_g,punt73,punt73
soep-core,soep-core-2009-pe,155,punt74,P09_A-H_g,punt74,punt74
soep-core,soep-core-2009-pe,155,punt81,P09_A-H_g,punt81,punt81
soep-core,soep-core-2009-pe,155,punt82,P09_A-H_g,punt82,punt82
soep-core,soep-core-2009-pe,155,punt83,P09_A-H_g,punt83,punt83
soep-core,soep-core-2009-pe,155,punt84,P09_A-H_g,punt84,punt84
soep-core,soep-core-2009-pe,155,punt91,P09_A-H_g,punt91,punt91
soep-core,soep-core-2009-pe,155,punt92,P09_A-H_g,punt92,punt92
soep-core,soep-core-2009-pe,155,punt93,P09_A-H_g,punt93,punt93
soep-core,soep-core-2009-pe,155,punt94,P09_A-H_g,punt94,punt94
soep-core,soep-core-2009-pe,155,puntno2,P09_A-H_g,puntno2,puntno2
soep-core,soep-core-2009-pe,156,pfs011,P09_A-H_g,pfs011,pfs011
soep-core,soep-core-2009-pe,156,pfs012,P09_A-H_g,pfs012,pfs012
soep-core,soep-core-2009-pe,156,pfs013,P09_A-H_g,pfs013,pfs013
soep-core,soep-core-2009-pe,156,pfs021,P09_A-H_g,pfs021,pfs021
soep-core,soep-core-2009-pe,156,pfs022,P09_A-H_g,pfs022,pfs022
soep-core,soep-core-2009-pe,156,pfs023,P09_A-H_g,pfs023,pfs023
soep-core,soep-core-2009-pe,156,pfs031,P09_A-H_g,pfs031,pfs031
soep-core,soep-core-2009-pe,156,pfs032,P09_A-H_g,pfs032,pfs032
soep-core,soep-core-2009-pe,156,pfs033,P09_A-H_g,pfs033,pfs033
soep-core,soep-core-2009-pe,156,pfs041,P09_A-H_g,pfs041,pfs041
soep-core,soep-core-2009-pe,156,pfs042,P09_A-H_g,pfs042,pfs042
soep-core,soep-core-2009-pe,156,pfs043,P09_A-H_g,pfs043,pfs043
soep-core,soep-core-2009-pe,156,pfs051,P09_A-H_g,pfs051,pfs051
soep-core,soep-core-2009-pe,156,pfs052,P09_A-H_g,pfs052,pfs052
soep-core,soep-core-2009-pe,156,pfs053,P09_A-H_g,pfs053,pfs053
soep-core,soep-core-2009-pe,156,pfs061,P09_A-H_g,pfs061,pfs061
soep-core,soep-core-2009-pe,156,pfs062,P09_A-H_g,pfs062,pfs062
soep-core,soep-core-2009-pe,156,pfs063,P09_A-H_g,pfs063,pfs063
soep-core,soep-core-2009-pe,156,pfs071,P09_A-H_g,pfs071,pfs071
soep-core,soep-core-2009-pe,156,pfs072,P09_A-H_g,pfs072,pfs072
soep-core,soep-core-2009-pe,156,pfs073,P09_A-H_g,pfs073,pfs073
soep-core,soep-core-2009-pe,156,pfs081,P09_A-H_g,pfs081,pfs081
soep-core,soep-core-2009-pe,156,pfs082,P09_A-H_g,pfs082,pfs082
soep-core,soep-core-2009-pe,156,pfs083,P09_A-H_g,pfs083,pfs083
soep-core,soep-core-2009-pe,156,pfs091,P09_A-H_g,pfs091,pfs091
soep-core,soep-core-2009-pe,156,pfs092,P09_A-H_g,pfs092,pfs092
soep-core,soep-core-2009-pe,156,pfs093,P09_A-H_g,pfs093,pfs093
soep-core,soep-core-2009-pe,156,pfs111,P09_A-H_g,pfs111,pfs111
soep-core,soep-core-2009-pe,156,pfs112,P09_A-H_g,pfs112,pfs112
soep-core,soep-core-2009-pe,156,pfs113,P09_A-H_g,pfs113,pfs113
soep-core,soep-core-2009-pe,156,pfs121,P09_A-H_g,pfs121,pfs121
soep-core,soep-core-2009-pe,156,pfs122,P09_A-H_g,pfs122,pfs122
soep-core,soep-core-2009-pe,156,pfs123,P09_A-H_g,pfs123,pfs123
soep-core,soep-core-2009-pe,156,pfs131,P09_A-H_g,pfs131,pfs131
soep-core,soep-core-2009-pe,156,pfs132,P09_A-H_g,pfs132,pfs132
soep-core,soep-core-2009-pe,156,pfs133,P09_A-H_g,pfs133,pfs133
soep-core,soep-core-2009-pe,156,pfsno,P09_A-H_g,pfsno,pfsno
