study,name,label,label_de,description,description_de
soep-core,0,unspecified,unspecified,,
soep-core,1984,1984,1984,,
soep-core,1985,1985,1985,,
soep-core,1986,1986,1986,,
soep-core,1987,1987,1987,,
soep-core,1988,1988,1988,,
soep-core,1989,1989,1989,,
soep-core,1990,1990,1990,,
soep-core,1991,1991,1991,,
soep-core,1992,1992,1992,,
soep-core,1993,1993,1993,,
soep-core,1994,1994,1994,,
soep-core,1995,1995,1995,,
soep-core,1996,1996,1996,,
soep-core,1997,1997,1997,,
soep-core,1998,1998,1998,,
soep-core,1999,1999,1999,,
soep-core,2000,2000,2000,,
soep-core,2001,2001,2001,,
soep-core,2002,2002,2002,,
soep-core,2003,2003,2003,,
soep-core,2004,2004,2004,,
soep-core,2005,2005,2005,,
soep-core,2006,2006,2006,,
soep-core,2007,2007,2007,,
soep-core,2008,2008,2008,,
soep-core,2009,2009,2009,,
soep-core,2010,2010,2010,,
soep-core,2011,2011,2011,,
soep-core,2012,2012,2012,,
soep-core,2013,2013,2013,,
soep-core,2014,2014,2014,,
soep-core,2015,2015,2015,,
soep-core,2016,2016,2016,,
soep-core,2017,2017,2017,,
soep-core,2018,2018,2018,,
