study,name,label,label_de,description,description_de
soep-core,Tracking Data,Tracking Data,Struktur-/Pfad-Daten,Essential files to track persons or household over time,
soep-core,org/gross,Gross,Brutto-Daten,"Information on gross sample, mostly from the field work",
soep-core,Original Data,Original Data (from questionnaires),Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire",
soep-core,Survey Data,Survey Data,Methodendaten,Dataset describing the survey design or weighting scheme,
soep-core,Generated Data,Generated Data,Generierte Daten,"Generated data, checked for longitudinally consistency",
soep-core,gen/bio,Gen. Biographical,Generierte Bio-Daten,"Generated biographical data, checked for longitudinally consistency",
soep-core,Spell Data,Spell Data,Spell-Daten,Spell data,
soep-core,raw,Raw data (undistributed),Rohdaten (nicht veröffentlicht),Undistributed original datasets,
soep-core,eu-silc-like-panel,EU-SILC-like Panel,EU-SILC-like-Panel,Files for EU-Silc-like Panel,
