study,dataset,variable,url,url_de
soep-core,biol,binta01,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/binta01.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/binta01.png
soep-core,biol,binta02,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/binta02.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/binta02.png
soep-core,biol,bintb1,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/bintb1.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/bintb1.png
soep-core,biol,bintb,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/bintb.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/bintb.png
soep-core,biol,bintc03,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/bintc03.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/bintc03.png
soep-core,biol,bintc04,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/bintc04.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/bintc04.png
soep-core,biol,cid,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/cid.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/cid.png
soep-core,biol,hid,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/hid.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/hid.png
soep-core,biol,iage,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iage.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iage.png
soep-core,biol,iaudio1,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iaudio1.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iaudio1.png
soep-core,biol,iaudio2,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iaudio2.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iaudio2.png
soep-core,biol,iday,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iday.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iday.png
soep-core,biol,idevice,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/idevice.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/idevice.png
soep-core,biol,iduration2,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iduration2.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iduration2.png
soep-core,biol,iduration,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/en/iduration.png,https://github.com/paneldata/soep-core/raw/master/graphics/variables/biol/de/iduration.png
