type,study,dataset,variable,instrument,question,url,url_text
dataset,soep-core,biobirth,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850565.de/diw_ssp1191.pdf,Codebook (PDF)
dataset,soep-core,bioimmig,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850340.de/diw_ssp1176.pdf,Codebook (PDF)
dataset,soep-core,biojob,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.794001.de/diw_ssp0874.pdf,Codebook (PDF)
dataset,soep-core,bioparen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850342.de/diw_ssp1177.pdf,Codebook (PDF)
dataset,soep-core,biosib,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850359.de/diw_ssp1178.pdf,Codebook (PDF)
dataset,soep-core,cogdj,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850361.de/diw_ssp1179.pdf,Codebook (PDF)
dataset,soep-core,hbrutto,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850363.de/diw_ssp1180.pdf,Codebook (PDF)
dataset,soep-core,health,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850387.de/diw_ssp1181.pdf,Codebook (PDF)
dataset,soep-core,hgen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850391.de/diw_ssp1182.pdf,Codebook (PDF)
dataset,soep-core,hpathl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850475.de/diw_ssp1183.pdf,Codebook (PDF)
dataset,soep-core,interviewer,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850500.de/diw_ssp1184.pdf,Codebook (PDF)
dataset,soep-core,microm,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.570730.de/diw_ssp0233.pdf,Codebook (PDF)
dataset,soep-core,pbrutto,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850502.de/diw_ssp1185.pdf,Codebook (PDF)
dataset,soep-core,pequiv,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,Codebook (PDF)
dataset,soep-core,pgen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850555.de/diw_ssp1186.pdf,Codebook (PDF)
dataset,soep-core,ppathl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.850563.de/diw_ssp1187.pdf,Codebook (PDF)
dataset,soep-core,D-File,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.876614.de/diw_ssp1260.pdf,Codebook (PDF)
dataset,soep-core,H-File,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.876614.de/diw_ssp1260.pdf,Codebook (PDF)
dataset,soep-core,P-File,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.876614.de/diw_ssp1260.pdf,Codebook (PDF)
dataset,soep-core,R-File,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.876614.de/diw_ssp1260.pdf,Codebook (PDF)
instrument,soep-core,,,soep-core-1984-hh,,https://www.diw.de/documents/publikationen/73/diw_01.c.816363.de/diw_ssp0942.pdf,PDF of Field Version/Feldversion (de)
instrument,soep-core,,,soep-core-1984-hh,,https://www.diw.de/documents/publikationen/73/diw_01.c.870753.de/diw_ssp1218.pdf,PDF with Reference to Variables (de)
instrument,soep-core,,,soep-core-1984-hh,,https://www.diw.de/documents/publikationen/73/diw_01.c.870755.de/diw_ssp1219.pdf,PDF with Reference to Variables (en)
