"study","dataset","varname","concept","source","item_id","ID"
"soep-core","ABROAD","AUSPAN","item_7496","v30",7496,"ABROAD|AUSPAN"
"soep-core","ABROAD","ERG","item_5898","IKL -Item.Vars-",5898,"ABROAD|ERG"
"soep-core","ABROAD","SYEAR","_syear","IKL -Item.Vars-",66,"ABROAD|SYEAR"
"soep-core","ABROAD","SYEAR","_syear","IKL -Item.Vars-",67,"ABROAD|SYEAR"
"soep-core","ABROAD","F0101","item_5899","IKL -Item.Vars-",5899,"ABROAD|F0101"
"soep-core","ABROAD","F0102","item_5900","IKL -Item.Vars-",5900,"ABROAD|F0102"
"soep-core","ABROAD","F0103","","v31",,"ABROAD|F0103"
"soep-core","ABROAD","F0201","item_5901","IKL -Item.Vars-",5901,"ABROAD|F0201"
"soep-core","ABROAD","F0202","item_5902","IKL -Item.Vars-",5902,"ABROAD|F0202"
"soep-core","ABROAD","F0301","item_5903","IKL -Item.Vars-",5903,"ABROAD|F0301"
"soep-core","ABROAD","F0302","item_5904","IKL -Item.Vars-",5904,"ABROAD|F0302"
"soep-core","ABROAD","F0401","item_5906","IKL -Item.Vars-",5906,"ABROAD|F0401"
"soep-core","ABROAD","F0402","item_5907","IKL -Item.Vars-",5907,"ABROAD|F0402"
"soep-core","ABROAD","F0403","item_5908","IKL -Item.Vars-",5908,"ABROAD|F0403"
"soep-core","ABROAD","F0404","item_5909","IKL -Item.Vars-",5909,"ABROAD|F0404"
"soep-core","ABROAD","F0405","item_5910","IKL -Item.Vars-",5910,"ABROAD|F0405"
"soep-core","ABROAD","F0406","item_5911","IKL -Item.Vars-",5911,"ABROAD|F0406"
"soep-core","ABROAD","F0407","item_5912","IKL -Item.Vars-",5912,"ABROAD|F0407"
"soep-core","ABROAD","F0408","item_5913","IKL -Item.Vars-",5913,"ABROAD|F0408"
"soep-core","ABROAD","F0409","item_5914","IKL -Item.Vars-",5914,"ABROAD|F0409"
"soep-core","ABROAD","F0410","item_5915","IKL -Item.Vars-",5915,"ABROAD|F0410"
"soep-core","ABROAD","F0501","item_5917","IKL -Item.Vars-",5917,"ABROAD|F0501"
"soep-core","ABROAD","F0502","item_5918","IKL -Item.Vars-",5918,"ABROAD|F0502"
